Date,Open,High,Low,Close,Volume
1973-02-21,1.491417,1.491417,1.491417,1.491417,99200
1973-02-22,1.496455,1.496455,1.496455,1.496455,47200
1973-02-23,1.491417,1.491417,1.491417,1.491417,133600
1973-02-26,1.491417,1.491417,1.491417,1.491417,24000
1973-02-27,1.491417,1.491417,1.491417,1.491417,41600
1973-02-28,1.491417,1.491417,1.491417,1.491417,66400
1973-03-01,1.501494,1.501494,1.501494,1.501494,93600
1973-03-02,1.506532,1.506532,1.506532,1.506532,26400
1973-03-05,1.526686,1.526686,1.526686,1.526686,68000
1973-03-06,1.572033,1.572033,1.572033,1.572033,76800
1973-03-07,1.572033,1.572033,1.572033,1.572033,51200
1973-03-08,1.582110,1.582110,1.582110,1.582110,84800
1973-03-09,1.582110,1.582110,1.582110,1.582110,78400
1973-03-12,1.577071,1.577071,1.577071,1.577071,73600
1973-03-13,1.582110,1.582110,1.582110,1.582110,47200
1973-03-14,1.587149,1.587149,1.587149,1.587149,50400
1973-03-15,1.582110,1.582110,1.582110,1.582110,70400
1973-03-16,1.577071,1.577071,1.577071,1.577071,44800
1973-03-19,1.561957,1.561957,1.561957,1.561957,28000
1973-03-20,1.531726,1.531726,1.531726,1.531726,68800
1973-03-21,1.511572,1.511572,1.511572,1.511572,94400
1973-03-22,1.486378,1.486378,1.486378,1.486378,55200
1973-03-23,1.486378,1.486378,1.486378,1.486378,117600
1973-03-26,1.481339,1.481339,1.481339,1.481339,9600
1973-03-27,1.481339,1.481339,1.481339,1.481339,15200
1973-03-28,1.501494,1.501494,1.501494,1.501494,141600
1973-03-29,1.521648,1.521648,1.521648,1.521648,120000
1973-03-30,1.521648,1.521648,1.521648,1.521648,85600
1973-04-02,1.511572,1.511572,1.511572,1.511572,52800
1973-04-03,1.501494,1.501494,1.501494,1.501494,23200
1973-04-04,1.491417,1.491417,1.491417,1.491417,78400
1973-04-05,1.486378,1.486378,1.486378,1.486378,78400
1973-04-06,1.486378,1.486378,1.486378,1.486378,36000
1973-04-09,1.486378,1.486378,1.486378,1.486378,28000
1973-04-10,1.521648,1.521648,1.521648,1.521648,88800
1973-04-11,1.531726,1.531726,1.531726,1.531726,144000
1973-04-12,1.551880,1.551880,1.551880,1.551880,140800
1973-04-13,1.551880,1.551880,1.551880,1.551880,13600
1973-04-16,1.551880,1.551880,1.551880,1.551880,40000
1973-04-17,1.511572,1.511572,1.511572,1.511572,92800
1973-04-18,1.506532,1.506532,1.506532,1.506532,25600
1973-04-19,1.511572,1.511572,1.511572,1.511572,39200
1973-04-23,1.491417,1.491417,1.491417,1.491417,48000
1973-04-24,1.481339,1.481339,1.481339,1.481339,134400
1973-04-25,1.471263,1.471263,1.471263,1.471263,59200
1973-04-26,1.471263,1.471263,1.471263,1.471263,33600
1973-04-27,1.461185,1.461185,1.461185,1.461185,36800
1973-04-30,1.441030,1.441030,1.441030,1.441030,91200
1973-05-01,1.430954,1.430954,1.430954,1.430954,295200
1973-05-02,1.435992,1.435992,1.435992,1.435992,61600
1973-05-03,1.435992,1.451108,1.430954,1.430954,56000
1973-05-04,1.446069,1.466223,1.446069,1.446069,43200
1973-05-07,1.451109,1.471263,1.451109,1.451109,42400
1973-05-08,1.456146,1.476301,1.456146,1.456146,28800
1973-05-09,1.496455,1.516610,1.496455,1.496455,58400
1973-05-10,1.531726,1.551880,1.531726,1.531726,70400
1973-05-11,1.536764,1.556918,1.536764,1.536764,26400
1973-05-14,1.501494,1.501494,1.481339,1.481339,151200
1973-05-15,1.481339,1.496455,1.476300,1.476300,163200
1973-05-16,1.506532,1.526686,1.506532,1.506532,75200
1973-05-17,1.506532,1.526686,1.506532,1.506532,27200
1973-05-18,1.506532,1.511571,1.491417,1.491417,59200
1973-05-21,1.491417,1.506532,1.486378,1.486378,60800
1973-05-22,1.501494,1.521648,1.501494,1.501494,95200
1973-05-23,1.506532,1.526686,1.506532,1.506532,34400
1973-05-24,1.541802,1.561956,1.541802,1.541802,60000
1973-05-25,1.561957,1.582111,1.561957,1.561957,111200
1973-05-29,1.572033,1.592188,1.572033,1.572033,144800
1973-05-30,1.566995,1.566995,1.546841,1.546841,90400
1973-05-31,1.546841,1.566995,1.546841,1.546841,36000
1973-06-01,1.546841,1.566995,1.546841,1.546841,47200
1973-06-04,1.496455,1.496455,1.476300,1.476300,119200
1973-06-05,1.471263,1.471263,1.451109,1.451109,101600
1973-06-06,1.451108,1.451108,1.430954,1.430954,32000
1973-06-07,1.441030,1.461185,1.441030,1.441030,31200
1973-06-08,1.446069,1.466223,1.446069,1.446069,98400
1973-06-11,1.451109,1.471263,1.451109,1.451109,58400
1973-06-12,1.466223,1.486377,1.466223,1.466223,148800
1973-06-13,1.471263,1.491417,1.471263,1.471263,40800
1973-06-14,1.481339,1.501494,1.481339,1.481339,53600
1973-06-15,1.481339,1.486377,1.466223,1.466223,43200
1973-06-18,1.461185,1.461185,1.441030,1.441030,31200
1973-06-19,1.441030,1.446069,1.425915,1.425915,83200
1973-06-20,1.425915,1.435992,1.415838,1.415838,30400
1973-06-21,1.415838,1.430953,1.410799,1.410799,78400
1973-06-22,1.410799,1.430953,1.410799,1.410799,58400
1973-06-25,1.405761,1.405761,1.385607,1.385607,46400
1973-06-26,1.395684,1.415838,1.395684,1.395684,44000
1973-06-27,1.395684,1.410800,1.390645,1.390645,90400
1973-06-28,1.390645,1.395683,1.375529,1.375529,57600
1973-06-29,1.380568,1.400722,1.380568,1.380568,160000
1973-07-02,1.390645,1.410800,1.390645,1.390645,24800
1973-07-03,1.390645,1.405761,1.385607,1.385607,44800
1973-07-05,1.385606,1.400722,1.380568,1.380568,24800
1973-07-06,1.380568,1.400722,1.380568,1.380568,37600
1973-07-09,1.390645,1.410800,1.390645,1.390645,42400
1973-07-10,1.400723,1.420877,1.400723,1.400723,32800
1973-07-11,1.405761,1.425915,1.405761,1.405761,12000
1973-07-12,1.405761,1.420877,1.400723,1.400723,24000
1973-07-13,1.410799,1.430953,1.410799,1.410799,59200
1973-07-16,1.420876,1.441030,1.420876,1.420876,16800
1973-07-17,1.430954,1.451108,1.430954,1.430954,110400
1973-07-18,1.471263,1.491417,1.471263,1.471263,128800
1973-07-19,1.566995,1.587149,1.566995,1.566995,157600
1973-07-20,1.607303,1.627457,1.607303,1.607303,341600
1973-07-23,1.607303,1.612342,1.592187,1.592187,110400
1973-07-24,1.592187,1.602265,1.582110,1.582110,100800
1973-07-25,1.582110,1.602265,1.582110,1.582110,46400
1973-07-26,1.582110,1.602265,1.582110,1.582110,82400
1973-07-27,1.582110,1.592188,1.572033,1.572033,61600
1973-07-30,1.572034,1.582111,1.561957,1.561957,25600
1973-07-31,1.561957,1.582111,1.561957,1.561957,31200
1973-08-01,1.561956,1.561956,1.541802,1.541802,47200
1973-08-02,1.536763,1.536763,1.516609,1.516609,80800
1973-08-03,1.516609,1.536763,1.516609,1.516609,48000
1973-08-06,1.516610,1.531726,1.511572,1.511572,41600
1973-08-07,1.511572,1.531726,1.511572,1.511572,3200
1973-08-08,1.511571,1.516610,1.496455,1.496455,72800
1973-08-09,1.511572,1.531726,1.511572,1.511572,29600
1973-08-10,1.516609,1.536763,1.516609,1.516609,32800
1973-08-13,1.516610,1.531726,1.511572,1.511572,19200
1973-08-14,1.511572,1.531726,1.511572,1.511572,53600
1973-08-15,1.511571,1.526686,1.506532,1.506532,24800
1973-08-16,1.506532,1.526686,1.506532,1.506532,44800
1973-08-17,1.521648,1.541802,1.521648,1.521648,29600
1973-08-20,1.521648,1.541802,1.521648,1.521648,58400
1973-08-21,1.521648,1.541802,1.521648,1.521648,22400
1973-08-22,1.521648,1.521648,1.501494,1.501494,64000
1973-08-23,1.501494,1.521648,1.501494,1.501494,6400
1973-08-24,1.506532,1.526686,1.506532,1.506532,17600
1973-08-27,1.511572,1.531726,1.511572,1.511572,57600
1973-08-28,1.531726,1.551880,1.531726,1.531726,51200
1973-08-29,1.551880,1.572034,1.551880,1.551880,153600
1973-08-30,1.551880,1.551880,1.531726,1.531726,50400
1973-08-31,1.541802,1.561956,1.541802,1.541802,24800
1973-09-04,1.546841,1.566995,1.546841,1.546841,53600
1973-09-05,1.546841,1.556918,1.536764,1.536764,66400
1973-09-06,1.541802,1.561956,1.541802,1.541802,153600
1973-09-07,1.561957,1.582111,1.561957,1.561957,160800
1973-09-10,1.572033,1.592188,1.572033,1.572033,107200
1973-09-11,1.572034,1.572034,1.551880,1.551880,51200
1973-09-12,1.551880,1.566995,1.546841,1.546841,20800
1973-09-13,1.551880,1.572034,1.551880,1.551880,57600
1973-09-14,1.551880,1.572034,1.551880,1.551880,4800
1973-09-17,1.561957,1.582111,1.561957,1.561957,64800
1973-09-18,1.572033,1.592188,1.572033,1.572033,71200
1973-09-19,1.592187,1.612342,1.592187,1.592187,122400
1973-09-20,1.592188,1.607303,1.587149,1.587149,65600
1973-09-21,1.587149,1.602265,1.582110,1.582110,73600
1973-09-24,1.602265,1.622419,1.602265,1.602265,111200
1973-09-25,1.602264,1.612342,1.592187,1.592187,23200
1973-09-26,1.592187,1.612342,1.592187,1.592187,73600
1973-09-27,1.592187,1.602265,1.582110,1.582110,48000
1973-09-28,1.582110,1.602265,1.582110,1.582110,90400
1973-10-01,1.582110,1.602265,1.582110,1.582110,29600
1973-10-02,1.587149,1.607303,1.587149,1.587149,32800
1973-10-03,1.587149,1.607303,1.587149,1.587149,59200
1973-10-04,1.587149,1.607303,1.587149,1.587149,17600
1973-10-05,1.587149,1.602265,1.582110,1.582110,74400
1973-10-08,1.582110,1.602265,1.582110,1.582110,34400
1973-10-09,1.582110,1.602265,1.582110,1.582110,40000
1973-10-10,1.607303,1.627457,1.607303,1.607303,189600
1973-10-11,1.647612,1.667767,1.647612,1.647612,185600
1973-10-12,1.672804,1.692959,1.672804,1.672804,142400
1973-10-15,1.672805,1.682882,1.662728,1.662728,177600
1973-10-16,1.662728,1.682882,1.662728,1.662728,164800
1973-10-17,1.667767,1.687921,1.667767,1.667767,56000
1973-10-18,1.667767,1.687921,1.667767,1.667767,42400
1973-10-19,1.692959,1.713114,1.692959,1.692959,163200
1973-10-22,1.692959,1.692959,1.672804,1.672804,85600
1973-10-23,1.672805,1.672805,1.652651,1.652651,131200
1973-10-24,1.652650,1.662727,1.642573,1.642573,60000
1973-10-25,1.647612,1.667767,1.647612,1.647612,26400
1973-10-26,1.652651,1.672805,1.652651,1.652651,64000
1973-10-29,1.652651,1.672805,1.652651,1.652651,48800
1973-10-30,1.627457,1.627457,1.607303,1.607303,69600
1973-10-31,1.602265,1.602265,1.582110,1.582110,104800
1973-11-01,1.582110,1.592188,1.572033,1.572033,124000
1973-11-02,1.572033,1.587149,1.566995,1.566995,122400
1973-11-05,1.566995,1.587149,1.566995,1.566995,46400
1973-11-06,1.572033,1.592188,1.572033,1.572033,33600
1973-11-07,1.612342,1.632497,1.612342,1.612342,65600
1973-11-08,1.632496,1.652650,1.632496,1.632496,92800
1973-11-09,1.632496,1.652650,1.632496,1.632496,62400
1973-11-12,1.632497,1.647612,1.627458,1.627458,56000
1973-11-13,1.627458,1.647612,1.627458,1.627458,60000
1973-11-14,1.622419,1.622419,1.602265,1.602265,76000
1973-11-15,1.607303,1.627457,1.607303,1.607303,46400
1973-11-16,1.617380,1.637535,1.617380,1.617380,78400
1973-11-19,1.612342,1.612342,1.592187,1.592187,73600
1973-11-20,1.536763,1.536763,1.516609,1.516609,159200
1973-11-21,1.546841,1.566995,1.546841,1.546841,97600
1973-11-23,1.546840,1.561956,1.541802,1.541802,62400
1973-11-26,1.541802,1.561956,1.541802,1.541802,123200
1973-11-27,1.536763,1.536763,1.516609,1.516609,128000
1973-11-28,1.516609,1.526686,1.506532,1.506532,126400
1973-11-29,1.501494,1.501494,1.481339,1.481339,65600
1973-11-30,1.405761,1.405761,1.385607,1.385607,172000
1973-12-03,1.380569,1.380569,1.360414,1.360414,510400
1973-12-04,1.370490,1.390645,1.370490,1.370490,296000
1973-12-05,1.360414,1.360414,1.340259,1.340259,132800
