Date,Open,High,Low,Close,Volume
1988-06-01,100.000000,100.000000,100.000000,100.000000,0
1988-06-02,99.550000,99.550000,99.550000,99.550000,0
1988-06-03,100.020000,100.020000,100.020000,100.020000,0
1988-06-06,100.350000,100.350000,100.350000,100.350000,0
1988-06-07,99.850000,99.850000,99.850000,99.850000,0
1988-06-08,101.530000,101.530000,101.530000,101.530000,0
1988-06-09,101.330000,101.330000,101.330000,101.330000,0
1988-06-10,101.830000,101.830000,101.830000,101.830000,0
1988-06-13,101.990000,101.990000,101.990000,101.990000,0
1988-06-14,102.910000,102.910000,102.910000,102.910000,0
1988-06-15,103.030000,103.030000,103.030000,103.030000,0
1988-06-16,101.490000,101.490000,101.490000,101.490000,0
1988-06-17,102.270000,102.270000,102.270000,102.270000,0
1988-06-20,101.810000,101.810000,101.810000,101.810000,0
1988-06-21,102.710000,102.710000,102.710000,102.710000,0
1988-06-22,103.610000,103.610000,103.610000,103.610000,0
1988-06-23,103.440000,103.440000,103.440000,103.440000,0
1988-06-24,103.340000,103.340000,103.340000,103.340000,0
1988-06-27,102.120000,102.120000,102.120000,102.120000,0
1988-06-28,103.080000,103.080000,103.080000,103.080000,0
1988-06-29,102.810000,102.810000,102.810000,102.810000,0
1988-06-30,103.560000,103.560000,103.560000,103.560000,0
1988-07-01,103.250000,103.250000,103.250000,103.250000,0
1988-07-05,104.450000,104.450000,104.450000,104.450000,0
1988-07-06,103.560000,103.560000,103.560000,103.560000,0
1988-07-07,103.480000,103.480000,103.480000,103.480000,0
1988-07-08,102.920000,102.920000,102.920000,102.920000,0
1988-07-11,103.260000,103.260000,103.260000,103.260000,0
1988-07-12,102.300000,102.300000,102.300000,102.300000,0
1988-07-13,102.860000,102.860000,102.860000,102.860000,0
1988-07-14,103.230000,103.230000,103.230000,103.230000,0
1988-07-15,103.950000,103.950000,103.950000,103.950000,0
1988-07-18,103.370000,103.370000,103.370000,103.370000,0
1988-07-19,102.680000,102.680000,102.680000,102.680000,0
1988-07-20,103.140000,103.140000,103.140000,103.140000,0
1988-07-21,102.170000,102.170000,102.170000,102.170000,0
1988-07-22,101.280000,101.280000,101.280000,101.280000,0
1988-07-25,101.750000,101.750000,101.750000,101.750000,0
1988-07-26,102.050000,102.050000,102.050000,102.050000,0
1988-07-27,101.140000,101.140000,101.140000,101.140000,0
1988-07-28,102.400000,102.400000,102.400000,102.400000,0
1988-07-29,104.290000,104.290000,104.290000,104.290000,0
1988-08-01,104.450000,104.450000,104.450000,104.450000,0
1988-08-02,104.570000,104.570000,104.570000,104.570000,0
1988-08-03,104.860000,104.860000,104.860000,104.860000,0
1988-08-04,104.650000,104.650000,104.650000,104.650000,0
1988-08-05,104.500000,104.500000,104.500000,104.500000,0
1988-08-08,104.180000,104.180000,104.180000,104.180000,0
1988-08-09,103.020000,103.020000,103.020000,103.020000,0
1988-08-10,101.310000,101.310000,101.310000,101.310000,0
1988-08-11,101.640000,101.640000,101.640000,101.640000,0
1988-08-12,101.590000,101.590000,101.590000,101.590000,0
1988-08-15,100.170000,100.170000,100.170000,100.170000,0
1988-08-16,100.910000,100.910000,100.910000,100.910000,0
1988-08-17,100.990000,100.990000,100.990000,100.990000,0
1988-08-18,101.100000,101.100000,101.100000,101.100000,0
1988-08-19,100.810000,100.810000,100.810000,100.810000,0
1988-08-22,99.980000,99.980000,99.980000,99.980000,0
1988-08-23,100.050000,100.050000,100.050000,100.050000,0
1988-08-24,101.410000,101.410000,101.410000,101.410000,0
1988-08-25,100.840000,100.840000,100.840000,100.840000,0
1988-08-26,101.100000,101.100000,101.100000,101.100000,0
1988-08-29,102.030000,102.030000,102.030000,102.030000,0
1988-08-30,102.180000,102.180000,102.180000,102.180000,0
1988-08-31,101.880000,101.880000,101.880000,101.880000,0
1988-09-01,100.860000,100.860000,100.860000,100.860000,0
1988-09-02,102.890000,102.890000,102.890000,102.890000,0
1988-09-06,103.370000,103.370000,103.370000,103.370000,0
1988-09-07,103.540000,103.540000,103.540000,103.540000,0
1988-09-08,103.620000,103.620000,103.620000,103.620000,0
1988-09-09,103.980000,103.980000,103.980000,103.980000,0
1988-09-12,104.010000,104.010000,104.010000,104.010000,0
1988-09-13,104.310000,104.310000,104.310000,104.310000,0
1988-09-14,104.840000,104.840000,104.840000,104.840000,0
1988-09-15,104.690000,104.690000,104.690000,104.690000,0
1988-09-16,105.750000,105.750000,105.750000,105.750000,0
1988-09-19,105.160000,105.160000,105.160000,105.160000,0
1988-09-20,105.530000,105.530000,105.530000,105.530000,0
1988-09-21,105.710000,105.710000,105.710000,105.710000,0
1988-09-22,105.390000,105.390000,105.390000,105.390000,0
1988-09-23,105.610000,105.610000,105.610000,105.610000,0
1988-09-26,105.470000,105.470000,105.470000,105.470000,0
1988-09-27,105.320000,105.320000,105.320000,105.320000,0
1988-09-28,105.610000,105.610000,105.610000,105.610000,0
1988-09-29,106.760000,106.760000,106.760000,106.760000,0
1988-09-30,106.630000,106.630000,106.630000,106.630000,0
1988-10-03,106.570000,106.570000,106.570000,106.570000,0
1988-10-04,106.350000,106.350000,106.350000,106.350000,0
1988-10-05,106.800000,106.800000,106.800000,106.800000,0
1988-10-06,106.960000,106.960000,106.960000,106.960000,0
1988-10-07,108.460000,108.460000,108.460000,108.460000,0
1988-10-10,108.600000,108.600000,108.600000,108.600000,0
1988-10-11,108.620000,108.620000,108.620000,108.620000,0
1988-10-12,107.590000,107.590000,107.590000,107.590000,0
1988-10-13,108.080000,108.080000,108.080000,108.080000,0
1988-10-14,108.250000,108.250000,108.250000,108.250000,0
1988-10-17,108.630000,108.630000,108.630000,108.630000,0
1988-10-18,109.450000,109.450000,109.450000,109.450000,0
1988-10-19,108.940000,108.940000,108.940000,108.940000,0
