Date,Open,High,Low,Close,Volume
1962-01-02,0.461477,0.465971,0.456982,0.461477,163200
1962-01-03,0.461476,0.465971,0.456981,0.465971,156000
1962-01-04,0.476459,0.491442,0.476459,0.477958,355200
1962-01-05,0.477958,0.488446,0.476460,0.482453,163200
1962-01-08,0.482453,0.489944,0.479456,0.485449,204000
1962-01-09,0.485449,0.494439,0.480954,0.489944,290400
1962-01-10,0.489944,0.492941,0.482453,0.483951,182400
1962-01-11,0.483951,0.491442,0.479456,0.491442,384000
1962-01-12,0.491442,0.500432,0.485449,0.494439,352800
1962-01-15,0.494439,0.497436,0.485450,0.492941,280800
1962-01-16,0.491434,0.491434,0.485403,0.488418,163200
1962-01-17,0.488418,0.494448,0.485403,0.486911,160800
1962-01-18,0.486911,0.497463,0.486911,0.497463,261600
1962-01-19,0.497463,0.506508,0.488418,0.506508,357600
1962-01-22,0.506508,0.512538,0.505000,0.505000,261600
1962-01-23,0.505001,0.509523,0.494448,0.494448,223200
1962-01-24,0.494448,0.494448,0.482389,0.491433,120000
1962-01-25,0.491434,0.498971,0.489926,0.494448,151200
1962-01-26,0.494448,0.498971,0.488419,0.494448,108000
1962-01-29,0.494449,0.498971,0.492941,0.498971,122400
1962-01-30,0.497463,0.497463,0.489926,0.491433,120000
1962-01-31,0.491434,0.498971,0.491434,0.494448,189600
1962-02-01,0.494449,0.506508,0.494449,0.503493,112800
1962-02-02,0.503493,0.505001,0.498971,0.500478,199200
1962-02-05,0.500479,0.501986,0.498971,0.498971,96000
1962-02-06,0.500478,0.505001,0.500478,0.501986,105600
1962-02-07,0.501986,0.505001,0.495956,0.495956,122400
1962-02-08,0.495956,0.497463,0.495956,0.495956,141600
1962-02-09,0.495956,0.497463,0.489926,0.489926,115200
1962-02-12,0.489926,0.491433,0.483896,0.491433,98400
1962-02-13,0.491434,0.492941,0.486911,0.489926,86400
1962-02-14,0.489926,0.489926,0.482389,0.485404,177600
1962-02-15,0.483896,0.483896,0.476358,0.482389,60000
1962-02-16,0.482389,0.488419,0.473344,0.485404,88800
1962-02-19,0.485404,0.489926,0.480881,0.485404,170400
1962-02-20,0.485404,0.486911,0.482389,0.483896,67200
1962-02-21,0.483896,0.483896,0.470329,0.473344,98400
1962-02-23,0.473344,0.479374,0.470329,0.473344,96000
1962-02-26,0.482389,0.491433,0.482389,0.491433,158400
1962-02-27,0.491433,0.494448,0.485403,0.486911,117600
1962-02-28,0.486911,0.492941,0.482389,0.486911,139200
1962-03-01,0.486911,0.492941,0.486911,0.486911,74400
1962-03-02,0.486911,0.488418,0.482389,0.488418,105600
1962-03-05,0.488418,0.489926,0.482389,0.488418,79200
1962-03-06,0.488419,0.492941,0.482389,0.485404,98400
1962-03-07,0.485403,0.485403,0.476359,0.479374,172800
1962-03-08,0.479374,0.480881,0.473344,0.474851,98400
1962-03-09,0.474851,0.476359,0.473344,0.473344,86400
1962-03-12,0.473344,0.474851,0.467314,0.467314,96000
1962-03-13,0.467314,0.473344,0.459777,0.470329,141600
1962-03-14,0.471836,0.480881,0.471836,0.480881,117600
1962-03-15,0.480881,0.480881,0.473344,0.476359,139200
1962-03-16,0.476359,0.480881,0.476359,0.480881,79200
1962-03-19,0.480881,0.486911,0.477866,0.480881,105600
1962-03-20,0.482389,0.491433,0.482389,0.491433,177600
1962-03-21,0.491434,0.492941,0.476359,0.479374,232800
1962-03-22,0.482389,0.489926,0.482389,0.486911,268800
1962-03-23,0.486911,0.491433,0.483896,0.486911,189600
1962-03-26,0.486911,0.488419,0.479374,0.483896,124800
1962-03-27,0.483896,0.485404,0.482389,0.483896,112800
1962-03-28,0.483896,0.492941,0.483896,0.492941,146400
1962-03-29,0.492941,0.492941,0.485403,0.486911,91200
1962-03-30,0.486911,0.492941,0.485403,0.492941,86400
1962-04-02,0.491434,0.491434,0.480881,0.483896,230400
1962-04-03,0.483896,0.489926,0.480881,0.482389,168000
1962-04-04,0.482389,0.486911,0.480881,0.483896,115200
1962-04-05,0.483896,0.488418,0.482389,0.488418,192000
1962-04-06,0.486911,0.486911,0.480881,0.486911,148800
1962-04-09,0.486911,0.486911,0.480881,0.480881,124800
1962-04-10,0.480881,0.485404,0.477867,0.485404,120000
1962-04-11,0.485404,0.489926,0.479374,0.483896,182400
1962-04-12,0.480881,0.480881,0.473344,0.479374,158400
1962-04-13,0.477866,0.477866,0.467314,0.467314,38400
1962-04-16,0.468831,0.468831,0.452141,0.458211,129600
1962-04-17,0.459728,0.471866,0.459728,0.464280,172800
1962-04-18,0.464280,0.470348,0.461245,0.467314,132000
1962-04-19,0.467314,0.473383,0.467314,0.467314,81600
1962-04-23,0.465797,0.465797,0.449107,0.450624,136800
1962-04-24,0.452141,0.458211,0.452141,0.458211,103200
1962-04-25,0.455176,0.455176,0.446073,0.446073,120000
1962-04-26,0.447590,0.459728,0.447590,0.452141,163200
1962-04-27,0.452142,0.453659,0.443038,0.449107,182400
1962-04-30,0.449107,0.449107,0.427866,0.430900,187200
1962-05-01,0.430900,0.435452,0.415727,0.433934,228000
1962-05-02,0.433934,0.441521,0.433934,0.436969,139200
1962-05-03,0.436969,0.456693,0.435452,0.456693,79200
1962-05-04,0.456693,0.461245,0.452141,0.452141,76800
1962-05-07,0.452141,0.455176,0.449107,0.452141,182400
1962-05-08,0.452141,0.458211,0.450624,0.452141,129600
1962-05-09,0.452142,0.455176,0.436969,0.449107,96000
1962-05-10,0.447590,0.447590,0.427865,0.429383,16800
1962-05-11,0.429383,0.429383,0.423314,0.429383,141600
1962-05-14,0.429383,0.446072,0.421796,0.421796,146400
1962-05-15,0.436969,0.447590,0.436969,0.444555,132000
1962-05-16,0.444555,0.444555,0.438486,0.441521,103200
1962-05-17,0.441521,0.443038,0.436969,0.440003,180000
1962-05-18,0.443038,0.452141,0.443038,0.447590,187200
1962-05-21,0.447590,0.447590,0.440004,0.443038,132000
1962-05-22,0.443038,0.446073,0.436969,0.436969,117600
1962-05-23,0.436969,0.438486,0.423314,0.426348,256800
1962-05-24,0.426348,0.435452,0.420279,0.421796,336000
1962-05-25,0.421796,0.424831,0.415727,0.420279,156000
1962-05-28,0.420279,0.420279,0.397520,0.397520,148800
1962-05-29,0.397520,0.418762,0.376279,0.394486,451200
1962-05-31,0.406624,0.420279,0.406624,0.417245,196800
1962-06-01,0.417245,0.423314,0.412693,0.423314,148800
1962-06-04,0.415727,0.415727,0.403589,0.405107,158400
1962-06-05,0.405106,0.417245,0.402072,0.411175,196800
1962-06-06,0.415727,0.426348,0.415727,0.418762,141600
1962-06-07,0.418762,0.433934,0.417244,0.424831,153600
1962-06-08,0.423314,0.423314,0.414210,0.423314,112800
1962-06-11,0.421797,0.421797,0.405107,0.409659,120000
1962-06-12,0.406624,0.406624,0.402072,0.406624,220800
1962-06-13,0.406624,0.418762,0.400555,0.402072,266400
1962-06-14,0.400555,0.400555,0.389934,0.389934,544800
1962-06-15,0.389934,0.399038,0.389934,0.399038,278400
1962-06-18,0.402072,0.408141,0.402072,0.402072,199200
1962-06-19,0.402072,0.405107,0.397520,0.405107,148800
1962-06-20,0.405107,0.405107,0.394486,0.397520,139200
1962-06-21,0.397520,0.403590,0.388417,0.388417,225600
1962-06-22,0.388417,0.394486,0.374762,0.374762,379200
1962-06-25,0.373244,0.373244,0.358072,0.359589,319200
1962-06-26,0.359589,0.371727,0.358072,0.365658,211200
1962-06-27,0.364141,0.364141,0.358072,0.364141,124800
1962-06-28,0.370210,0.391451,0.370210,0.383865,146400
1962-06-29,0.383865,0.394486,0.382348,0.386900,158400
