Date,Open,High,Low,Close,Volume
1986-07-09,7.108712,7.358140,7.025569,7.316569,1116800
1986-07-10,7.358147,7.399718,7.108718,7.275004,595600
1986-07-11,7.233428,7.275000,7.025571,7.025571,800400
1986-07-14,7.067142,7.067142,6.734570,6.817713,738000
1986-07-15,6.776145,6.776145,6.194145,6.609859,2059200
1986-07-16,6.609859,6.984002,6.609859,6.734573,1160400
1986-07-17,6.734573,6.817715,6.651430,6.776144,1046000
1986-07-18,6.776142,6.880070,6.651428,6.817713,1420000
1986-07-21,6.817713,6.859285,6.776142,6.817713,322800
1986-07-22,6.817715,6.838501,6.776144,6.776144,390800
1986-07-23,6.817713,6.817713,6.651427,6.692999,1004000
1986-07-24,6.693002,6.734573,6.526716,6.609859,1071600
1986-07-25,6.609856,6.734570,6.568285,6.692999,688400
1986-07-28,6.693001,6.817716,6.630644,6.734573,414800
1986-07-29,6.651430,6.776144,6.651430,6.776144,278400
1986-07-30,6.693001,6.734573,6.568287,6.734573,459200
1986-07-31,6.734570,6.817713,6.651427,6.692999,1213600
1986-08-01,6.651431,6.734574,6.485145,6.485145,1118000
1986-08-04,6.526717,6.526717,6.339645,6.485145,892400
1986-08-05,6.485141,6.485141,6.318855,6.360427,868800
1986-08-06,6.360429,6.402001,6.069429,6.069429,550400
1986-08-07,5.986288,6.027860,5.404288,5.570574,7560000
1986-08-08,5.612142,5.944714,5.570571,5.903142,2802000
1986-08-11,5.986287,6.069429,5.903144,6.069429,1428000
1986-08-12,6.069433,6.277290,6.069433,6.235719,1155200
1986-08-13,6.277286,6.713786,6.235715,6.443572,865600
1986-08-14,6.485143,6.526714,6.235714,6.318857,762000
1986-08-15,6.318862,6.318862,6.111004,6.235719,654400
1986-08-18,6.277286,6.568286,6.152572,6.443572,606800
1986-08-19,6.485141,6.485141,6.318855,6.360427,2744000
1986-08-20,6.360429,6.360429,6.235714,6.318857,500000
1986-08-21,6.318858,6.360429,6.277287,6.277287,353200
1986-08-22,6.318862,6.360433,6.235719,6.235719,286000
1986-08-25,6.318857,6.318857,6.069428,6.152571,766400
1986-08-26,6.111004,6.235719,6.111004,6.235719,408800
1986-08-27,6.235713,6.235713,6.110999,6.194142,686400
1986-08-28,6.194147,6.194147,6.069432,6.111004,286000
1986-08-29,6.069429,6.152572,6.027858,6.069429,1128800
1986-09-02,6.110998,6.110998,5.778427,5.819998,916800
1986-09-03,5.819997,5.944712,5.778426,5.944712,684400
1986-09-04,5.986285,6.194142,5.903142,6.194142,576800
1986-09-05,6.194143,6.277286,5.986286,5.986286,961600
1986-09-08,6.069427,6.069427,5.736855,5.819998,1793200
1986-09-09,5.778428,5.820000,5.653714,5.736857,388000
1986-09-10,5.736859,5.736859,5.653717,5.653717,802400
1986-09-11,5.695284,5.695284,5.154856,5.279570,6240000
1986-09-12,5.238001,5.279573,5.030144,5.071715,2066800
1986-09-15,5.071715,5.154858,4.947001,5.071715,1746800
1986-09-16,5.030144,5.071716,4.863859,4.947001,1547200
1986-09-17,4.988571,4.988571,4.697571,4.905428,997600
1986-09-18,4.905427,5.819998,4.905427,5.819998,833200
1986-09-19,5.820004,5.820004,5.445861,5.695290,928000
1986-09-22,5.695288,5.778431,5.570574,5.653717,464000
1986-09-23,5.695287,5.695287,5.362715,5.487430,436400
1986-09-24,5.487431,5.695288,5.404288,5.653717,649600
1986-09-25,5.653715,5.653715,5.529001,5.529001,305600
1986-09-26,5.529001,5.612144,5.487429,5.529001,278400
1986-09-29,5.570572,5.570572,5.362715,5.487430,724800
1986-09-30,5.445861,5.820004,5.445861,5.695290,773200
1986-10-01,5.778433,5.820004,5.695290,5.695290,668400
1986-10-02,5.695290,5.736861,5.695290,5.695290,592000
1986-10-03,5.736860,5.736860,5.487431,5.570574,228000
1986-10-06,5.653714,5.653714,5.529000,5.612143,467600
1986-10-07,5.570571,5.653714,5.570571,5.612143,176000
1986-10-08,5.653714,5.736857,5.612143,5.736857,558800
1986-10-09,5.736857,5.736857,5.570571,5.612143,243200
1986-10-10,5.612144,5.612144,5.487429,5.529001,238400
1986-10-13,5.570571,5.570571,5.362714,5.362714,362800
1986-10-14,5.362716,5.736859,5.362716,5.653717,612000
1986-10-15,5.695284,5.861570,5.653713,5.819998,606800
1986-10-16,5.820000,5.861571,5.778429,5.778429,269200
1986-10-17,5.820002,5.820002,5.612145,5.653717,216000
1986-10-20,5.612144,5.653715,5.362715,5.529001,595200
1986-10-21,5.529001,5.529001,5.445858,5.445858,327200
1986-10-22,5.529001,5.529001,5.445858,5.487430,396000
1986-10-23,5.528999,5.528999,5.487428,5.508214,1358400
1986-10-24,5.529001,5.570572,5.487429,5.529001,809600
1986-10-27,5.570572,5.570572,5.487429,5.529001,305200
1986-10-28,5.487431,5.653717,5.487431,5.653717,329200
1986-10-29,5.653714,5.986285,5.653714,5.903142,835600
1986-10-30,5.903141,6.110998,5.861569,6.027855,973200
1986-10-31,6.027858,6.027858,5.903143,5.986286,632400
1986-11-03,5.903143,6.027858,5.903143,5.986286,408800
1986-11-04,5.944712,6.027855,5.944712,5.944712,283200
1986-11-05,5.986285,5.986285,5.903142,5.903142,231200
1986-11-06,5.903144,5.944716,5.695287,5.861573,434000
1986-11-07,5.861572,5.944715,5.820000,5.840786,517200
1986-11-10,5.861570,5.861570,5.736855,5.819998,503200
1986-11-11,5.861569,5.944712,5.778426,5.944712,142000
1986-11-12,5.944716,6.007073,5.903145,5.965502,669600
1986-11-13,5.944717,5.986288,5.570574,5.570574,578800
