Date,Open,High,Low,Close,Volume
1973-02-21,0.595927,0.595927,0.595927,0.595927,420800
1973-02-22,0.607387,0.607387,0.607387,0.607387,92800
1973-02-23,0.624577,0.624577,0.624577,0.624577,400000
1973-02-26,0.613118,0.613118,0.613118,0.613118,187200
1973-02-27,0.567276,0.567276,0.567276,0.567276,657600
1973-02-28,0.607387,0.607387,0.607387,0.607387,235200
1973-03-01,0.615983,0.615983,0.615983,0.615983,235200
1973-03-02,0.621712,0.621712,0.621712,0.621712,128000
1973-03-05,0.607387,0.607387,0.607387,0.607387,244800
1973-03-06,0.610252,0.610252,0.610252,0.610252,235200
1973-03-07,0.621712,0.621712,0.621712,0.621712,478400
1973-03-08,0.641767,0.641767,0.641767,0.641767,299200
1973-03-09,0.630307,0.630307,0.630307,0.630307,726400
1973-03-12,0.650363,0.650363,0.650363,0.650363,166400
1973-03-13,0.647498,0.647498,0.647498,0.647498,115200
1973-03-14,0.641767,0.641767,0.641767,0.641767,36800
1973-03-15,0.647498,0.647498,0.647498,0.647498,80000
1973-03-16,0.656093,0.656093,0.656093,0.656093,86400
1973-03-19,0.647498,0.647498,0.647498,0.647498,67200
1973-03-20,0.658957,0.658957,0.658957,0.658957,72000
1973-03-21,0.644633,0.644633,0.644633,0.644633,62400
1973-03-22,0.618847,0.618847,0.618847,0.618847,516800
1973-03-23,0.618847,0.618847,0.618847,0.618847,89600
1973-03-26,0.615983,0.615983,0.615983,0.615983,75200
1973-03-27,0.627443,0.627443,0.627443,0.627443,168000
1973-03-28,0.636037,0.636037,0.636037,0.636037,148800
1973-03-29,0.641767,0.641767,0.641767,0.641767,217600
1973-03-30,0.647498,0.647498,0.647498,0.647498,222400
1973-04-02,0.638903,0.638903,0.638903,0.638903,193600
1973-04-03,0.618847,0.618847,0.618847,0.618847,307200
1973-04-04,0.621712,0.621712,0.621712,0.621712,112000
1973-04-05,0.598792,0.598792,0.598792,0.598792,507200
1973-04-06,0.630307,0.630307,0.630307,0.630307,336000
1973-04-09,0.630307,0.630307,0.630307,0.630307,121600
1973-04-10,0.641767,0.641767,0.641767,0.641767,145600
1973-04-11,0.656093,0.656093,0.656093,0.656093,94400
1973-04-12,0.653228,0.653228,0.653228,0.653228,91200
1973-04-13,0.658957,0.658957,0.658957,0.658957,49600
1973-04-16,0.661823,0.661823,0.661823,0.661823,137600
1973-04-17,0.656093,0.656093,0.656093,0.656093,220800
1973-04-18,0.638903,0.638903,0.638903,0.638903,691200
1973-04-19,0.615983,0.615983,0.615983,0.615983,360000
1973-04-23,0.590197,0.590197,0.590197,0.590197,176000
1973-04-24,0.561547,0.561547,0.561547,0.561547,2009600
1973-04-25,0.555816,0.555816,0.555816,0.555816,208000
1973-04-26,0.573006,0.573006,0.573006,0.573006,220800
1973-04-27,0.584467,0.584467,0.584467,0.584467,403200
1973-04-30,0.581602,0.581602,0.581602,0.581602,84800
1973-05-01,0.607387,0.607387,0.607387,0.607387,155200
1973-05-02,0.607387,0.607387,0.607387,0.607387,166400
1973-05-03,0.607387,0.627443,0.598792,0.627443,476800
1973-05-04,0.627443,0.627443,0.613117,0.627443,108800
1973-05-07,0.627442,0.641767,0.624577,0.641767,406400
1973-05-08,0.641767,0.644633,0.627442,0.641767,128000
1973-05-09,0.641767,0.653228,0.638903,0.641767,134400
1973-05-10,0.641767,0.641767,0.638903,0.641767,123200
1973-05-11,0.641767,0.641767,0.636037,0.636037,134400
1973-05-14,0.630308,0.630308,0.615983,0.615983,121600
1973-05-15,0.607387,0.607387,0.598792,0.598792,278400
1973-05-16,0.598792,0.601657,0.595927,0.595927,68800
1973-05-17,0.595927,0.595927,0.587332,0.590197,195200
1973-05-18,0.590197,0.590197,0.573007,0.578737,430400
1973-05-21,0.573006,0.573006,0.564412,0.567276,107200
1973-05-22,0.567276,0.573006,0.567276,0.573006,92800
1973-05-23,0.578737,0.595927,0.578737,0.581602,104000
1973-05-24,0.581602,0.595927,0.578737,0.595927,44800
1973-05-25,0.610252,0.624577,0.610252,0.624577,128000
1973-05-29,0.618848,0.618848,0.607388,0.613118,91200
1973-05-30,0.607387,0.607387,0.584467,0.584467,180800
1973-05-31,0.584467,0.584467,0.573007,0.575872,249600
1973-06-01,0.575872,0.581602,0.575872,0.575872,49600
1973-06-04,0.573006,0.573006,0.561546,0.573006,340800
1973-06-05,0.570142,0.570142,0.555816,0.555816,163200
1973-06-06,0.555817,0.558682,0.541492,0.544357,196800
1973-06-07,0.544356,0.547221,0.527166,0.538626,139200
1973-06-08,0.538626,0.541491,0.504246,0.518571,448000
1973-06-11,0.512841,0.512841,0.504246,0.512841,190400
1973-06-12,0.512841,0.564412,0.507111,0.550086,1320000
1973-06-13,0.550086,0.573007,0.550086,0.550086,184000
1973-06-14,0.544356,0.544356,0.521436,0.524301,404800
1973-06-15,0.521437,0.521437,0.509976,0.509976,67200
1973-06-18,0.509976,0.512841,0.504246,0.507111,75200
1973-06-19,0.507111,0.515706,0.504246,0.515706,249600
1973-06-20,0.515706,0.521436,0.492786,0.492786,102400
1973-06-21,0.484191,0.484191,0.458405,0.461271,270400
1973-06-22,0.461271,0.472731,0.435485,0.435485,230400
1973-06-25,0.438350,0.446945,0.438350,0.438350,248000
1973-06-26,0.438350,0.464136,0.435485,0.464136,414400
1973-06-27,0.464135,0.478460,0.452675,0.458405,225600
1973-06-28,0.458406,0.467001,0.452675,0.467001,158400
1973-06-29,0.467001,0.489921,0.467001,0.489921,305600
1973-07-02,0.489921,0.498516,0.484191,0.495651,60800
1973-07-03,0.498516,0.507111,0.498516,0.498516,433600
1973-07-05,0.498516,0.498516,0.489921,0.498516,164800
1973-07-06,0.498516,0.498516,0.498516,0.498516,62400
1973-07-09,0.498516,0.509976,0.498516,0.498516,121600
1973-07-10,0.501381,0.521436,0.501381,0.521436,129600
1973-07-11,0.521436,0.538626,0.518571,0.538626,596800
1973-07-12,0.538626,0.555816,0.527166,0.555816,294400
1973-07-13,0.555817,0.555817,0.541492,0.544357,284800
1973-07-16,0.544357,0.547222,0.538626,0.547222,116800
1973-07-17,0.555817,0.567277,0.555817,0.558682,116800
1973-07-18,0.558682,0.564412,0.555817,0.558682,60800
1973-07-19,0.555816,0.555816,0.530031,0.530031,534400
1973-07-20,0.530032,0.541492,0.527166,0.527166,92800
1973-07-23,0.527166,0.550086,0.527166,0.550086,81600
1973-07-24,0.550087,0.564412,0.535762,0.564412,139200
1973-07-25,0.564411,0.575871,0.564411,0.573006,150400
1973-07-26,0.573007,0.581602,0.561547,0.581602,52800
1973-07-27,0.578737,0.578737,0.564412,0.570142,190400
1973-07-30,0.570142,0.575872,0.564412,0.575872,113600
1973-07-31,0.575872,0.581602,0.573007,0.578737,249600
1973-08-01,0.570142,0.570142,0.558682,0.561547,62400
1973-08-02,0.561547,0.570142,0.552952,0.570142,180800
1973-08-03,0.575872,0.578737,0.575872,0.575872,44800
1973-08-06,0.575872,0.590197,0.575872,0.581602,80000
1973-08-07,0.581602,0.581602,0.567277,0.570142,177600
1973-08-08,0.567276,0.567276,0.555816,0.567276,252800
1973-08-09,0.561547,0.561547,0.541492,0.561547,262400
1973-08-10,0.561546,0.561546,0.552952,0.555816,116800
1973-08-13,0.555817,0.558682,0.541492,0.541492,176000
1973-08-14,0.541492,0.547222,0.535761,0.535761,72000
1973-08-15,0.535761,0.547221,0.535761,0.538626,102400
1973-08-16,0.541492,0.541492,0.541492,0.541492,14400
1973-08-17,0.541492,0.550086,0.535761,0.535761,113600
1973-08-20,0.532896,0.532896,0.521436,0.527166,25600
1973-08-21,0.527166,0.532896,0.524301,0.524301,32000
1973-08-22,0.524301,0.527166,0.495651,0.495651,113600
1973-08-23,0.495651,0.504246,0.489921,0.504246,118400
1973-08-24,0.504246,0.504246,0.501381,0.504246,40000
1973-08-27,0.504246,0.507111,0.501381,0.507111,22400
1973-08-28,0.507111,0.512841,0.504246,0.504246,68800
1973-08-29,0.507111,0.532896,0.507111,0.532896,67200
1973-08-30,0.532896,0.550086,0.532896,0.550086,158400
1973-08-31,0.544357,0.544357,0.535762,0.541492,19200
1973-09-04,0.541491,0.555816,0.538626,0.555816,121600
1973-09-05,0.550087,0.550087,0.541492,0.541492,52800
1973-09-06,0.538626,0.538626,0.515706,0.524301,84800
1973-09-07,0.524301,0.530031,0.507111,0.530031,94400
1973-09-10,0.530032,0.547222,0.530032,0.541492,43200
1973-09-11,0.535761,0.535761,0.518571,0.530031,102400
1973-09-12,0.524302,0.524302,0.509976,0.509976,28800
1973-09-13,0.509976,0.509976,0.487055,0.487055,161600
1973-09-14,0.489921,0.509976,0.489921,0.495651,465600
1973-09-17,0.495651,0.501381,0.489921,0.489921,49600
1973-09-18,0.489921,0.495651,0.487056,0.495651,49600
1973-09-19,0.495651,0.527166,0.492786,0.527166,366400
1973-09-20,0.538626,0.561546,0.538626,0.555816,387200
1973-09-21,0.555816,0.564412,0.555816,0.555816,51200
1973-09-24,0.555817,0.590197,0.555817,0.578737,836800
1973-09-25,0.578737,0.593062,0.564412,0.593062,139200
1973-09-26,0.593062,0.621713,0.587332,0.604522,684800
1973-09-27,0.601657,0.601657,0.587332,0.587332,369600
1973-09-28,0.587332,0.595927,0.584467,0.595927,113600
1973-10-01,0.595927,0.595927,0.584467,0.584467,56000
1973-10-02,0.584467,0.593062,0.584467,0.587332,132800
1973-10-03,0.587332,0.593062,0.581602,0.581602,156800
1973-10-04,0.575872,0.575872,0.558682,0.558682,81600
1973-10-05,0.558682,0.564412,0.552952,0.564412,44800
1973-10-08,0.570142,0.584467,0.570142,0.581602,214400
1973-10-09,0.581601,0.590196,0.573006,0.573006,187200
1973-10-10,0.570142,0.570142,0.561547,0.561547,97600
1973-10-11,0.561546,0.573006,0.561546,0.573006,86400
1973-10-12,0.573006,0.575871,0.567276,0.573006,134400
1973-10-15,0.564412,0.564412,0.544357,0.544357,224000
1973-10-16,0.544357,0.547222,0.538627,0.544357,28800
1973-10-17,0.544357,0.555817,0.541492,0.544357,60800
1973-10-18,0.544357,0.552952,0.541492,0.541492,56000
1973-10-19,0.541491,0.544356,0.538626,0.538626,406400
1973-10-22,0.532897,0.532897,0.521436,0.521436,137600
1973-10-23,0.521436,0.527166,0.504246,0.504246,192000
1973-10-24,0.492786,0.492786,0.469866,0.469866,844800
1973-10-25,0.464136,0.464136,0.452675,0.464136,619200
1973-10-26,0.464136,0.475596,0.458405,0.461271,264000
1973-10-29,0.464136,0.472731,0.464136,0.472731,584000
1973-10-30,0.472731,0.475596,0.467001,0.469866,305600
1973-10-31,0.469866,0.475596,0.464136,0.472731,254400
1973-11-01,0.472731,0.478461,0.464136,0.464136,147200
1973-11-02,0.458405,0.458405,0.452675,0.458405,387200
1973-11-05,0.458405,0.458405,0.435485,0.441215,489600
1973-11-06,0.441215,0.444080,0.421160,0.421160,406400
1973-11-07,0.421160,0.438350,0.415430,0.429755,62400
1973-11-08,0.429755,0.446945,0.424025,0.424025,99200
1973-11-09,0.424025,0.424025,0.409700,0.409700,110400
1973-11-12,0.406835,0.406835,0.375320,0.386780,220800
1973-11-13,0.386780,0.395375,0.375320,0.375320,201600
1973-11-14,0.375320,0.386780,0.366724,0.366724,198400
1973-11-15,0.366724,0.366724,0.338074,0.343804,310400
1973-11-16,0.343804,0.352399,0.320884,0.335209,755200
1973-11-19,0.335209,0.343804,0.320884,0.326614,102400
1973-11-20,0.326614,0.329479,0.300829,0.300829,1124800
1973-11-21,0.300829,0.323749,0.300829,0.318019,480000
1973-11-23,0.318019,0.352399,0.315154,0.352399,193600
1973-11-26,0.352399,0.355264,0.332344,0.355264,232000
1973-11-27,0.346669,0.346669,0.323749,0.323749,161600
1973-11-28,0.323749,0.343804,0.306559,0.315154,430400
1973-11-29,0.312289,0.312289,0.286503,0.303694,419200
1973-11-30,0.303693,0.306559,0.295099,0.300829,129600
1973-12-03,0.300829,0.300829,0.283639,0.297964,222400
1973-12-04,0.297963,0.309423,0.292233,0.309423,193600
1973-12-05,0.297963,0.297963,0.286503,0.289369,177600
1973-12-06,0.289368,0.303693,0.286503,0.286503,222400
1973-12-07,0.286503,0.295099,0.280773,0.289369,449600
1973-12-10,0.289369,0.289369,0.277908,0.283638,155200
1973-12-11,0.275043,0.275043,0.254988,0.254988,220800
1973-12-12,0.254988,0.257853,0.229203,0.234933,494400
1973-12-13,0.234933,0.246393,0.226338,0.226338,201600
1973-12-14,0.226338,0.246393,0.220608,0.240663,284800
1973-12-17,0.232068,0.232068,0.214878,0.214878,364800
1973-12-18,0.214878,0.223472,0.206282,0.223472,459200
1973-12-19,0.226338,0.246393,0.226338,0.234933,481600
1973-12-20,0.234933,0.240663,0.229203,0.240663,192000
1973-12-21,0.240663,0.252123,0.234933,0.249258,246400
1973-12-24,0.246393,0.246393,0.232068,0.246393,160000
1973-12-26,0.252123,0.275043,0.252123,0.254988,936000
1973-12-27,0.254988,0.254988,0.243528,0.249258,1972800
1973-12-28,0.249258,0.249258,0.240663,0.240663,217600
1973-12-31,0.240663,0.249258,0.229203,0.249258,334400
1974-01-02,0.249258,0.252123,0.246393,0.249258,417600
1974-01-03,0.249258,0.254988,0.246393,0.246393,230400
1974-01-04,0.246393,0.252123,0.243528,0.243528,204800
1974-01-07,0.243528,0.243528,0.237798,0.243528,305600
1974-01-08,0.243528,0.249258,0.240663,0.243528,128000
1974-01-09,0.240663,0.240663,0.229203,0.240663,217600
1974-01-10,0.240663,0.240663,0.232068,0.237798,120000
1974-01-11,0.237798,0.243528,0.232068,0.243528,344000
1974-01-14,0.243528,0.246393,0.240663,0.240663,270400
1974-01-15,0.240663,0.243528,0.232068,0.240663,147200
1974-01-16,0.240663,0.243528,0.237798,0.237798,150400
1974-01-17,0.237798,0.237798,0.232068,0.237798,104000
1974-01-18,0.237798,0.246393,0.234933,0.243528,916800
1974-01-21,0.243528,0.243528,0.234933,0.237798,552000
1974-01-22,0.243528,0.263583,0.243528,0.257853,395200
1974-01-23,0.263583,0.266448,0.263583,0.266448,441600
1974-01-24,0.266448,0.266448,0.246393,0.252123,539200
1974-01-25,0.252123,0.252123,0.237798,0.246393,168000
1974-01-28,0.240663,0.240663,0.232068,0.237798,232000
1974-01-29,0.237798,0.240663,0.237798,0.240663,718400
1974-01-30,0.240663,0.246393,0.234933,0.234933,188800
1974-01-31,0.237798,0.243528,0.237798,0.243528,297600
1974-02-01,0.243528,0.243528,0.232068,0.234933,265600
1974-02-04,0.232068,0.232068,0.223472,0.229202,236800
1974-02-05,0.229202,0.229202,0.223472,0.229202,203200
1974-02-06,0.229203,0.229203,0.223473,0.226338,73600
1974-02-07,0.226338,0.226338,0.217743,0.226338,129600
1974-02-08,0.226338,0.229203,0.223473,0.226338,62400
1974-02-11,0.226338,0.226338,0.217743,0.217743,153600
1974-02-12,0.217743,0.226338,0.214878,0.220608,180800
1974-02-13,0.220608,0.226338,0.206282,0.206282,177600
1974-02-14,0.206282,0.226338,0.206282,0.226338,140800
1974-02-15,0.226338,0.229202,0.220608,0.229202,240000
1974-02-19,0.229202,0.232068,0.223472,0.229202,145600
1974-02-20,0.229203,0.229203,0.223472,0.223472,372800
1974-02-21,0.223472,0.229202,0.220608,0.229202,126400
1974-02-22,0.232068,0.243528,0.232068,0.240663,272000
1974-02-25,0.240663,0.246393,0.237798,0.240663,171200
1974-02-26,0.243528,0.252123,0.243528,0.252123,112000
1974-02-27,0.252123,0.257853,0.252123,0.252123,388800
1974-02-28,0.252123,0.254988,0.246393,0.252123,78400
1974-03-01,0.249258,0.249258,0.240663,0.249258,1088000
1974-03-04,0.246393,0.246393,0.232068,0.237798,174400
1974-03-05,0.237798,0.246393,0.232068,0.246393,216000
1974-03-06,0.246393,0.257853,0.243528,0.252123,163200
1974-03-07,0.260718,0.272179,0.260718,0.260718,420800
1974-03-08,0.260718,0.260718,0.252123,0.260718,476800
1974-03-11,0.257853,0.257853,0.252123,0.254988,492800
1974-03-12,0.254988,0.257853,0.246393,0.254988,491200
1974-03-13,0.254988,0.260718,0.254988,0.257853,300800
1974-03-14,0.257853,0.257853,0.252123,0.252123,214400
1974-03-15,0.252123,0.252123,0.246393,0.249258,324800
1974-03-18,0.249258,0.252123,0.246393,0.252123,371200
1974-03-19,0.249258,0.249258,0.240663,0.243528,107200
1974-03-20,0.243528,0.246393,0.237798,0.240663,105600
1974-03-21,0.240663,0.240663,0.234933,0.237798,270400
1974-03-22,0.240663,0.243528,0.240663,0.243528,80000
1974-03-25,0.243528,0.246393,0.234933,0.234933,59200
1974-03-26,0.234933,0.237798,0.229203,0.232068,120000
1974-03-27,0.232068,0.240663,0.223473,0.226338,155200
1974-03-28,0.223473,0.223473,0.206282,0.212013,273600
1974-03-29,0.212012,0.212012,0.206282,0.209148,195200
1974-04-01,0.214878,0.229203,0.214878,0.220608,107200
1974-04-02,0.220608,0.226338,0.214878,0.226338,102400
1974-04-03,0.226338,0.226338,0.217742,0.223472,33600
1974-04-04,0.223472,0.229202,0.220608,0.229202,40000
1974-04-05,0.229203,0.229203,0.214878,0.220608,89600
1974-04-08,0.220608,0.220608,0.209148,0.220608,129600
1974-04-09,0.220608,0.223473,0.212013,0.217743,113600
1974-04-10,0.217743,0.217743,0.209148,0.212013,105600
1974-04-11,0.212012,0.217743,0.206282,0.209148,169600
1974-04-15,0.209148,0.212013,0.203418,0.212013,83200
1974-04-16,0.212012,0.217742,0.206282,0.214878,78400
1974-04-17,0.214878,0.220608,0.214878,0.217743,38400
1974-04-18,0.217742,0.220608,0.214878,0.214878,32000
1974-04-19,0.214878,0.217743,0.203418,0.206282,222400
1974-04-22,0.206282,0.212013,0.206282,0.206282,59200
1974-04-23,0.206282,0.206282,0.194822,0.203418,280000
1974-04-24,0.203418,0.203418,0.194822,0.200552,81600
1974-04-25,0.200552,0.200552,0.186227,0.186227,179200
1974-04-26,0.186227,0.197687,0.186227,0.197687,116800
1974-04-29,0.197688,0.206282,0.191957,0.203418,121600
1974-04-30,0.203418,0.206282,0.191957,0.197687,68800
1974-05-01,0.197687,0.206282,0.183362,0.197687,305600
1974-05-02,0.197688,0.200552,0.191957,0.191957,32000
1974-05-03,0.189092,0.189092,0.171902,0.177632,577600
1974-05-06,0.177632,0.180497,0.166172,0.169037,214400
1974-05-07,0.169037,0.174767,0.166172,0.171902,217600
1974-05-08,0.171902,0.174767,0.160442,0.174767,225600
1974-05-09,0.166172,0.166172,0.160442,0.166172,302400
1974-05-10,0.166172,0.171902,0.166172,0.166172,107200
1974-05-13,0.169037,0.174767,0.169037,0.174767,83200
1974-05-14,0.174767,0.174767,0.166172,0.174767,129600
1974-05-15,0.169037,0.169037,0.163307,0.166172,86400
1974-05-16,0.166172,0.166172,0.157577,0.163307,216000
1974-05-17,0.163307,0.166172,0.154712,0.157577,123200
1974-05-20,0.157577,0.163307,0.154712,0.160442,166400
1974-05-21,0.160442,0.163307,0.154712,0.160442,83200
1974-05-22,0.160442,0.163307,0.151847,0.154712,128000
1974-05-23,0.151847,0.151847,0.146117,0.151847,270400
1974-05-24,0.151847,0.151847,0.137522,0.151847,2606400
1974-05-28,0.154712,0.157577,0.154712,0.154712,92800
1974-05-29,0.154712,0.169037,0.154712,0.166172,1150400
1974-05-30,0.169037,0.174767,0.169037,0.171902,358400
1974-05-31,0.174767,0.180497,0.174767,0.180497,190400
1974-06-03,0.180497,0.194822,0.180497,0.191957,1868800
1974-06-04,0.197688,0.212013,0.197688,0.203418,302400
1974-06-05,0.203418,0.203418,0.200552,0.200552,102400
1974-06-06,0.200552,0.203418,0.200552,0.203418,118400
1974-06-07,0.206282,0.214878,0.206282,0.212013,667200
1974-06-10,0.212012,0.223472,0.209147,0.223472,811200
1974-06-11,0.223473,0.223473,0.212013,0.212013,113600
1974-06-12,0.212013,0.212013,0.200552,0.200552,97600
1974-06-13,0.200552,0.206282,0.191957,0.200552,876800
1974-06-14,0.203418,0.206282,0.203418,0.203418,115200
1974-06-17,0.203418,0.203418,0.191957,0.191957,80000
1974-06-18,0.191957,0.194822,0.186227,0.186227,92800
1974-06-19,0.186227,0.189092,0.186227,0.186227,64000
1974-06-20,0.186227,0.191957,0.183362,0.183362,83200
1974-06-21,0.183362,0.189092,0.177632,0.177632,25600
1974-06-24,0.177632,0.183362,0.174767,0.183362,27200
1974-06-25,0.183362,0.189092,0.180497,0.180497,40000
1974-06-26,0.177632,0.177632,0.169037,0.169037,83200
1974-06-27,0.166172,0.166172,0.160442,0.166172,604800
