Date,Open,High,Low,Close,Volume
1996-03-18,4.350104,4.350104,4.350104,4.350104,500
1996-03-19,4.376468,4.376468,4.376468,4.376468,200
1996-03-20,4.376468,4.376468,4.376468,4.376468,0
1996-03-21,4.376468,4.376468,4.376468,4.376468,0
1996-03-22,4.376468,4.376468,4.376468,4.376468,0
1996-03-25,4.376468,4.376468,4.376468,4.376468,200
1996-03-26,4.376468,4.376468,4.376468,4.376468,0
1996-03-27,4.376468,4.376468,4.376468,4.376468,10100
1996-03-28,4.376468,4.376468,4.376468,4.376468,0
1996-03-29,4.402834,4.402834,4.402834,4.402834,100
1996-04-01,4.402834,4.402834,4.402834,4.402834,300
1996-04-02,4.429196,4.429196,4.429196,4.429196,1000
1996-04-03,4.429196,4.429196,4.429196,4.429196,100300
1996-04-04,4.429196,4.429196,4.429196,4.429196,0
1996-04-08,4.429196,4.429196,4.429196,4.429196,0
1996-04-09,4.429196,4.429196,4.429196,4.429196,0
1996-04-10,4.481925,4.481925,4.481925,4.481925,900
1996-04-11,4.429196,4.429196,4.429196,4.429196,1000
1996-04-12,4.429196,4.429196,4.429196,4.429196,100
1996-04-15,4.429196,4.429196,4.429196,4.429196,400
1996-04-16,4.481925,4.481925,4.481925,4.481925,1500
1996-04-17,4.481926,4.534654,4.481926,4.534654,18700
1996-04-18,4.587383,4.587383,4.481925,4.481925,2600
1996-04-19,4.534654,4.534654,4.534654,4.534654,400
1996-04-22,4.587383,4.587383,4.534654,4.534654,3300
1996-04-23,4.534654,4.534654,4.534654,4.534654,10000
1996-04-24,4.561018,4.561018,4.534654,4.534654,23000
1996-04-25,4.534654,4.534654,4.534654,4.534654,3000
1996-04-26,4.534656,4.561020,4.534656,4.561020,12500
1996-04-29,4.587384,4.587384,4.561019,4.587384,2900
1996-04-30,4.561020,4.561020,4.561020,4.561020,4800
1996-05-01,4.534654,4.534654,4.534654,4.534654,1200
1996-05-02,4.534654,4.534654,4.481925,4.481925,6200
1996-05-03,4.508291,4.508291,4.508291,4.508291,500
1996-05-06,4.508291,4.534656,4.508291,4.508291,2400
1996-05-07,4.508291,4.508291,4.508291,4.508291,0
1996-05-08,4.508291,4.508291,4.508291,4.508291,6600
1996-05-09,4.508291,4.508291,4.508291,4.508291,0
1996-05-10,4.508291,4.508291,4.508291,4.508291,100
1996-05-13,4.508291,4.508291,4.508291,4.508291,0
1996-05-14,4.508291,4.508291,4.508291,4.508291,0
1996-05-15,4.534654,4.534654,4.534654,4.534654,500
1996-05-16,4.587384,4.587384,4.587384,4.587384,1000
1996-05-17,4.692840,4.745568,4.613747,4.613747,3600
1996-05-20,4.587384,4.587384,4.587384,4.587384,900
1996-05-21,4.613747,4.613747,4.613747,4.613747,100
1996-05-22,4.587384,4.587384,4.587384,4.587384,400
1996-05-23,4.587384,4.587384,4.587384,4.587384,0
1996-05-24,4.587384,4.587384,4.587384,4.587384,100
1996-05-28,4.613747,4.613747,4.613747,4.613747,100
1996-05-29,4.587384,4.587384,4.587384,4.587384,100
1996-05-30,4.534654,4.534654,4.534654,4.534654,1000
1996-05-31,4.534654,4.534654,4.534654,4.534654,0
1996-06-03,4.561020,4.561020,4.561020,4.561020,100
1996-06-04,4.561020,4.561020,4.561020,4.561020,0
1996-06-05,4.561020,4.561020,4.561020,4.561020,0
1996-06-06,4.561020,4.561020,4.561020,4.561020,3000
1996-06-07,4.534656,4.561020,4.534656,4.561020,2000
1996-06-10,4.534654,4.534654,4.534654,4.534654,13100
1996-06-11,4.534654,4.534654,4.534654,4.534654,5000
1996-06-12,4.534654,4.534654,4.534654,4.534654,0
1996-06-13,4.534654,4.534654,4.534654,4.534654,0
1996-06-14,4.534654,4.534654,4.534654,4.534654,0
1996-06-17,4.455563,4.455563,4.455563,4.455563,300
1996-06-18,4.455563,4.455563,4.455563,4.455563,0
1996-06-19,4.455563,4.455563,4.455563,4.455563,0
1996-06-20,4.455563,4.455563,4.455563,4.455563,0
1996-06-21,4.481925,4.481925,4.481925,4.481925,5300
1996-06-24,4.481925,4.481925,4.481925,4.481925,3600
1996-06-25,4.481925,4.481925,4.481925,4.481925,100
1996-06-26,4.455563,4.455563,4.455563,4.455563,100
1996-06-27,4.455563,4.455563,4.455563,4.455563,0
1996-06-28,4.455563,4.455563,4.455563,4.455563,0
1996-07-01,4.481925,4.481925,4.481925,4.481925,300
1996-07-02,4.534654,4.534654,4.534654,4.534654,700
1996-07-03,4.534654,4.534654,4.534654,4.534654,300
1996-07-05,4.534654,4.534654,4.534654,4.534654,0
1996-07-08,4.481927,4.508291,4.481927,4.508291,4000
1996-07-09,4.508291,4.587384,4.508291,4.587384,28000
1996-07-10,4.534654,4.534654,4.534654,4.534654,1000
1996-07-11,4.455563,4.455563,4.455563,4.455563,800
1996-07-12,4.455563,4.455563,4.455563,4.455563,0
1996-07-15,4.508291,4.508291,4.508291,4.508291,9200
1996-07-16,4.429198,4.429198,4.323740,4.323740,2300
1996-07-17,4.402834,4.402834,4.402834,4.402834,100
1996-07-18,4.429197,4.429197,4.376468,4.376468,6900
1996-07-19,4.376468,4.376468,4.376468,4.376468,0
1996-07-22,4.376468,4.376468,4.376468,4.376468,0
1996-07-23,4.376468,4.376468,4.376468,4.376468,0
1996-07-24,4.376468,4.376468,4.376468,4.376468,0
1996-07-25,4.376468,4.376468,4.376468,4.376468,0
1996-07-26,4.376468,4.376468,4.376468,4.376468,0
1996-07-29,4.376468,4.376468,4.376468,4.376468,200
1996-07-30,4.376468,4.376468,4.376468,4.376468,2000
1996-07-31,4.376468,4.376468,4.376468,4.376468,0
1996-08-01,4.376468,4.376468,4.376468,4.376468,10000
1996-08-02,4.429196,4.429196,4.429196,4.429196,1000
1996-08-05,4.429196,4.429196,4.429196,4.429196,0
1996-08-06,4.429196,4.429196,4.429196,4.429196,0
1996-08-07,4.429196,4.429196,4.429196,4.429196,0
1996-08-08,4.455563,4.455563,4.455563,4.455563,100
1996-08-09,4.455560,4.455560,4.429196,4.429196,4100
1996-08-12,4.481924,4.481924,4.429196,4.429196,1500
1996-08-13,4.429196,4.429196,4.429196,4.429196,0
1996-08-14,4.481924,4.481924,4.429196,4.429196,600
1996-08-15,4.429196,4.429196,4.429196,4.429196,0
1996-08-16,4.534654,4.534654,4.534654,4.534654,700
1996-08-19,4.481926,4.534654,4.481926,4.534654,1800
1996-08-20,4.534654,4.534654,4.534654,4.534654,300
1996-08-21,4.534654,4.534654,4.534654,4.534654,100
1996-08-22,4.534654,4.534654,4.534654,4.534654,200
1996-08-23,4.534654,4.534654,4.534654,4.534654,100
1996-08-26,4.552016,4.552016,4.552016,4.552016,100
1996-08-27,4.578481,4.578481,4.578481,4.578481,500
1996-08-28,4.578481,4.578481,4.578481,4.578481,0
1996-08-29,4.499084,4.499084,4.499084,4.499084,10000
1996-08-30,4.472619,4.499084,4.472619,4.499084,14700
1996-09-03,4.472620,4.472620,4.446155,4.446155,31100
1996-09-04,4.472619,4.499084,4.472619,4.499084,10700
1996-09-05,4.499084,4.499084,4.499084,4.499084,0
1996-09-06,4.499084,4.499084,4.499084,4.499084,0
1996-09-09,4.525551,4.525551,4.525551,4.525551,1600
1996-09-10,4.525551,4.525551,4.525551,4.525551,0
1996-09-11,4.525551,4.525551,4.525551,4.525551,0
1996-09-12,4.552016,4.552016,4.552016,4.552016,200
1996-09-13,4.552016,4.552016,4.525551,4.525551,100000
1996-09-16,4.604945,4.631410,4.604945,4.631410,1400
1996-09-17,4.578480,4.631410,4.578480,4.631410,700
1996-09-18,4.631410,4.631410,4.631410,4.631410,0
1996-09-19,4.631410,4.631410,4.631410,4.631410,0
1996-09-20,4.631410,4.631410,4.631410,4.631410,0
1996-09-23,4.631410,4.631410,4.631410,4.631410,100
1996-09-24,4.631410,4.631410,4.631410,4.631410,300
1996-09-25,4.631410,4.631410,4.631410,4.631410,0
1996-09-26,4.631410,4.631410,4.631410,4.631410,0
1996-09-27,4.631410,4.631410,4.631410,4.631410,0
1996-09-30,4.657876,4.710806,4.657876,4.684341,3100
1996-10-01,4.684341,4.710806,4.684341,4.710806,12300
1996-10-02,4.763737,4.763737,4.710806,4.710806,1300
1996-10-03,4.763736,4.763736,4.763736,4.763736,200
1996-10-04,4.816669,4.843134,4.790204,4.843134,77700
1996-10-07,4.869600,4.869600,4.843134,4.843134,11200
1996-10-08,4.843134,4.843134,4.843134,4.843134,300
1996-10-09,4.816668,4.816668,4.816668,4.816668,400
1996-10-10,4.869600,4.869600,4.843134,4.843134,86000
1996-10-11,4.843133,4.869598,4.816668,4.816668,2600
1996-10-14,4.869596,4.869596,4.869596,4.869596,200
1996-10-15,4.869600,4.869600,4.843134,4.843134,1500
1996-10-16,4.896066,4.896066,4.896066,4.896066,1400
1996-10-17,4.896066,4.896066,4.896066,4.896066,43000
1996-10-18,4.922530,4.922530,4.922530,4.922530,4000
1996-10-21,4.922530,4.948995,4.922530,4.948995,5200
1996-10-22,4.975458,4.975458,4.975458,4.975458,200
1996-10-23,4.975458,5.001923,4.975458,5.001923,2700
1996-10-24,5.001923,5.001923,5.001923,5.001923,0
1996-10-25,5.001923,5.001923,4.975458,5.001923,46300
1996-10-28,5.001923,5.001923,4.948993,4.975458,302200
1996-10-29,4.975458,4.975458,4.975458,4.975458,0
1996-10-30,5.028390,5.081320,5.028390,5.081320,3800
1996-10-31,5.054855,5.081320,5.054855,5.081320,4100
1996-11-01,5.081320,5.081320,5.081320,5.081320,0
1996-11-04,5.081320,5.081320,5.081320,5.081320,0
1996-11-05,5.107786,5.107786,5.107786,5.107786,500
1996-11-06,5.213646,5.240111,5.213646,5.240111,3400
1996-11-07,5.187180,5.240111,5.187180,5.240111,3600
1996-11-08,5.213645,5.213645,5.187180,5.187180,265000
1996-11-11,5.213646,5.240111,5.213646,5.240111,1900
1996-11-12,5.266577,5.266577,5.266577,5.266577,40500
1996-11-13,5.266576,5.266576,5.213646,5.240111,45700
1996-11-14,5.240112,5.266577,5.240112,5.266577,3300
1996-11-15,5.266577,5.293042,5.266577,5.266577,6000
