Date,Open,High,Low,Close,Volume
1996-03-18,7.080168,7.107192,7.053144,7.107192,28800
1996-03-19,7.107192,7.107192,7.107192,7.107192,1000
1996-03-20,7.134215,7.134215,7.107192,7.107192,9200
1996-03-21,7.107192,7.107192,7.107192,7.107192,100
1996-03-22,7.107192,7.107192,7.107192,7.107192,0
1996-03-25,7.188266,7.188266,7.188266,7.188266,100
1996-03-26,7.188266,7.188266,7.188266,7.188266,5000
1996-03-27,7.215289,7.215289,7.134218,7.161242,1200
1996-03-28,7.161242,7.161242,7.161242,7.161242,0
1996-03-29,7.161242,7.161242,7.161242,7.161242,0
1996-04-01,7.215287,7.215287,7.215287,7.215287,500
1996-04-02,7.215287,7.215287,7.215287,7.215287,0
1996-04-03,7.269335,7.269335,7.269335,7.269335,100
1996-04-04,7.269335,7.269335,7.269335,7.269335,0
1996-04-08,7.269334,7.269334,7.161240,7.215287,4500
1996-04-09,7.215288,7.269335,7.215288,7.269335,1900
1996-04-10,7.296358,7.296358,7.296358,7.296358,600
1996-04-11,7.296358,7.296358,7.296358,7.296358,0
1996-04-12,7.269335,7.269335,7.269335,7.269335,200
1996-04-15,7.323382,7.323382,7.323382,7.323382,500
1996-04-16,7.323382,7.323382,7.323382,7.323382,6000
1996-04-17,7.296358,7.296358,7.296358,7.296358,200
1996-04-18,7.242312,7.269335,7.242312,7.269335,600
1996-04-19,7.296358,7.296358,7.296358,7.296358,700
1996-04-22,7.296358,7.296358,7.296358,7.296358,60500
1996-04-23,7.296358,7.296358,7.296358,7.296358,500
1996-04-24,7.296358,7.296358,7.296358,7.296358,0
1996-04-25,7.242310,7.242310,7.242310,7.242310,1700
1996-04-26,7.242310,7.242310,7.242310,7.242310,6600
1996-04-29,7.269335,7.269335,7.269335,7.269335,300
1996-04-30,7.269337,7.269337,7.188266,7.188266,300
1996-05-01,7.269335,7.269335,7.269335,7.269335,300
1996-05-02,7.269335,7.269335,7.269335,7.269335,1200
1996-05-03,7.242311,7.296358,7.242311,7.296358,8500
1996-05-06,7.377427,7.377427,7.350403,7.377427,8800
1996-05-07,7.296356,7.377427,7.296356,7.377427,11500
1996-05-08,7.323382,7.323382,7.323382,7.323382,200
1996-05-09,7.404454,7.404454,7.404454,7.404454,400
1996-05-10,7.377427,7.377427,7.296356,7.377427,51000
1996-05-13,7.377427,7.377427,7.377427,7.377427,0
1996-05-14,7.350403,7.377427,7.350403,7.377427,2100
1996-05-15,7.431474,7.431474,7.431474,7.431474,200
1996-05-16,7.404454,7.404454,7.404454,7.404454,1300
1996-05-17,7.377427,7.377427,7.377427,7.377427,1500
1996-05-20,7.377427,7.377427,7.377427,7.377427,0
1996-05-21,7.512548,7.512548,7.512548,7.512548,100
1996-05-22,7.458498,7.485522,7.458498,7.485522,800
1996-05-23,7.404454,7.512548,7.404454,7.512548,6100
1996-05-24,7.539570,7.539570,7.539570,7.539570,500
1996-05-28,7.566595,7.566595,7.566595,7.566595,1200
1996-05-29,7.593617,7.620641,7.593617,7.620641,800
1996-05-30,7.674688,7.674688,7.539570,7.539570,12700
1996-05-31,7.674687,7.674687,7.674687,7.674687,1000
1996-06-03,7.674687,7.674687,7.674687,7.674687,0
1996-06-04,7.620641,7.620641,7.620641,7.620641,500
1996-06-05,7.674687,7.674687,7.674687,7.674687,8500
1996-06-06,7.674687,7.674687,7.674687,7.674687,0
1996-06-07,7.620641,7.620641,7.620641,7.620641,1300
1996-06-10,7.620641,7.620641,7.620641,7.620641,0
1996-06-11,7.647664,7.647664,7.647664,7.647664,11600
1996-06-12,7.620641,7.620641,7.620641,7.620641,200
1996-06-13,7.620641,7.620641,7.620641,7.620641,0
1996-06-14,7.620641,7.620641,7.620641,7.620641,0
1996-06-17,7.647664,7.647664,7.647664,7.647664,500
1996-06-18,7.701713,7.701713,7.701713,7.701713,2100
1996-06-19,7.701713,7.701713,7.701713,7.701713,0
1996-06-20,7.566595,7.566595,7.566595,7.566595,900
1996-06-21,7.566595,7.566595,7.566595,7.566595,1800
1996-06-24,7.539570,7.539570,7.539570,7.539570,1700
1996-06-25,7.566595,7.566595,7.512548,7.512548,4300
1996-06-26,7.593618,7.593618,7.593618,7.593618,400
1996-06-27,7.566594,7.620641,7.539570,7.620641,1800
1996-06-28,7.674687,7.674687,7.674687,7.674687,100
1996-07-01,7.674687,7.674687,7.674687,7.674687,1200
1996-07-02,7.674687,7.674687,7.647664,7.647664,200
1996-07-03,7.674687,7.674687,7.674687,7.674687,7000
1996-07-05,7.674687,7.674687,7.674687,7.674687,0
1996-07-08,7.566595,7.566595,7.566595,7.566595,100
1996-07-09,7.593618,7.593618,7.593618,7.593618,100
1996-07-10,7.485524,7.566595,7.485524,7.566595,34200
1996-07-11,7.512547,7.512547,7.458499,7.458499,600
1996-07-12,7.458499,7.458499,7.458499,7.458499,100
1996-07-15,7.350404,7.350404,7.350404,7.350404,12200
1996-07-16,7.404454,7.404454,7.404454,7.404454,100
1996-07-17,7.404454,7.404454,7.404454,7.404454,0
1996-07-18,7.512548,7.512548,7.404454,7.404454,13700
1996-07-19,7.512548,7.512548,7.512548,7.512548,700
1996-07-22,7.431474,7.431474,7.431474,7.431474,400
1996-07-23,7.431474,7.431474,7.431474,7.431474,0
1996-07-24,7.242310,7.242310,7.242310,7.242310,68500
1996-07-25,7.296358,7.296358,7.296358,7.296358,100
1996-07-26,7.296358,7.296358,7.296358,7.296358,0
1996-07-29,7.296358,7.296358,7.296358,7.296358,0
1996-07-30,7.377427,7.377427,7.377427,7.377427,600
1996-07-31,7.485524,7.539572,7.485524,7.512548,7800
1996-08-01,7.512547,7.512547,7.458499,7.458499,5400
1996-08-02,7.674688,7.674688,7.620641,7.620641,12500
1996-08-05,7.620641,7.620641,7.620641,7.620641,0
1996-08-06,7.620641,7.620641,7.620641,7.620641,0
1996-08-07,7.566595,7.566595,7.566595,7.566595,3000
1996-08-08,7.593618,7.593618,7.593618,7.593618,100
1996-08-09,7.593618,7.593618,7.593618,7.593618,0
1996-08-12,7.593618,7.593618,7.593618,7.593618,0
1996-08-13,7.620641,7.620641,7.620641,7.620641,100
1996-08-14,7.620642,7.620642,7.566595,7.566595,30300
1996-08-15,7.674687,7.674687,7.674687,7.674687,500
1996-08-16,7.674687,7.674687,7.674687,7.674687,0
1996-08-19,7.674687,7.674687,7.674687,7.674687,0
1996-08-20,7.809805,7.809805,7.809805,7.809805,2900
1996-08-21,7.809805,7.809805,7.809805,7.809805,0
1996-08-22,7.674689,7.755760,7.674689,7.755760,5100
1996-08-23,7.755760,7.755760,7.755760,7.755760,0
1996-08-26,7.764349,7.764349,7.764349,7.764349,10100
1996-08-27,7.764349,7.764349,7.764349,7.764349,0
1996-08-28,7.819417,7.819417,7.764351,7.819417,1900
1996-08-29,7.736817,7.736817,7.654218,7.654218,1700
1996-08-30,7.599149,7.599149,7.599149,7.599149,200
1996-09-03,7.654218,7.654218,7.654218,7.654218,300
1996-09-04,7.654218,7.654218,7.654218,7.654218,0
1996-09-05,7.654218,7.654218,7.654218,7.654218,0
