Date,Open,High,Low,Close,Volume
1996-03-18,7.903874,7.903874,7.903874,7.903874,250
1996-03-19,7.903874,7.903874,7.903874,7.903874,250
1996-03-20,7.903874,7.903874,7.903874,7.903874,11000
1996-03-21,7.903874,7.903874,7.903874,7.903874,0
1996-03-22,7.903874,7.903874,7.903874,7.903874,0
1996-03-25,7.903874,7.903874,7.903874,7.903874,0
1996-03-26,7.903874,7.903874,7.903874,7.903874,0
1996-03-27,7.903873,7.903873,7.824036,7.824036,200
1996-03-28,7.664361,7.824036,7.664361,7.824036,14950
1996-03-29,7.863956,7.863956,7.863956,7.863956,100
1996-04-01,7.903876,8.023632,7.903876,8.023632,102500
1996-04-02,8.023632,8.023632,8.023632,8.023632,0
1996-04-03,8.023632,8.023632,8.023632,8.023632,0
1996-04-04,8.023632,8.023632,8.023632,8.023632,0
1996-04-08,7.863955,7.943792,7.863955,7.943792,2500
1996-04-09,8.023632,8.023632,8.023632,8.023632,650
1996-04-10,7.983713,8.023632,7.983713,8.023632,2500
1996-04-11,8.023632,8.023632,8.023632,8.023632,0
1996-04-12,8.023632,8.023632,8.023632,8.023632,0
1996-04-15,7.983710,8.103466,7.983710,8.103466,34550
1996-04-16,8.143388,8.143388,8.143388,8.143388,350
1996-04-17,8.143388,8.143388,8.143388,8.143388,0
1996-04-18,8.143388,8.143388,8.143388,8.143388,0
1996-04-19,8.263141,8.263141,8.263141,8.263141,500
1996-04-22,8.303059,8.303059,8.263141,8.263141,1150
1996-04-23,8.263141,8.263141,8.263141,8.263141,0
1996-04-24,8.143386,8.183305,8.143386,8.183305,5500
1996-04-25,8.183305,8.183305,8.183305,8.183305,0
1996-04-26,8.183305,8.183305,8.183305,8.183305,0
1996-04-29,8.143388,8.143388,8.143388,8.143388,450
1996-04-30,8.103466,8.103466,8.103466,8.103466,50
1996-05-01,8.103466,8.103466,8.103466,8.103466,0
1996-05-02,8.023630,8.023630,7.903874,7.903874,2600
1996-05-03,7.863955,7.983710,7.863955,7.943792,6200
1996-05-06,7.983713,7.983713,7.983713,7.983713,6800
1996-05-07,7.903874,7.903874,7.863955,7.903874,22350
1996-05-08,7.824039,7.983713,7.824039,7.983713,1150
1996-05-09,8.023630,8.063549,8.023630,8.063549,1550
1996-05-10,8.103466,8.103466,8.103466,8.103466,850
1996-05-13,7.983713,7.983713,7.983713,7.983713,1300
1996-05-14,7.943795,8.023632,7.943795,8.023632,950
1996-05-15,8.023632,8.023632,8.023632,8.023632,0
1996-05-16,7.983713,7.983713,7.983713,7.983713,950
1996-05-17,8.023632,8.023632,8.023632,8.023632,3250
1996-05-20,8.023632,8.023632,8.023632,8.023632,4700
1996-05-21,8.063547,8.103466,8.063547,8.103466,850
1996-05-22,8.023632,8.063551,8.023632,8.023632,9050
1996-05-23,8.023632,8.023632,8.023632,8.023632,0
1996-05-24,7.983713,7.983713,7.983713,7.983713,1100
1996-05-28,8.023632,8.023632,7.983713,7.983713,3200
1996-05-29,8.023629,8.103466,8.023629,8.103466,18800
1996-05-30,8.063550,8.063550,7.983713,7.983713,13750
1996-05-31,8.023632,8.023632,8.023632,8.023632,1250
1996-06-03,8.143388,8.143388,8.143388,8.143388,50
1996-06-04,8.143388,8.143388,8.143388,8.143388,100
1996-06-05,8.143385,8.143385,8.103466,8.103466,600
1996-06-06,8.183305,8.183305,8.183305,8.183305,1700
1996-06-07,8.023632,8.023632,8.023632,8.023632,2500
1996-06-10,8.023632,8.023632,7.983713,7.983713,3950
1996-06-11,8.023632,8.023632,8.023632,8.023632,3450
1996-06-12,8.103469,8.143388,8.063551,8.143388,3400
1996-06-13,8.063549,8.063549,7.983712,8.063549,11450
1996-06-14,7.943792,7.943792,7.943792,7.943792,250
1996-06-17,8.143388,8.143388,8.143388,8.143388,50
1996-06-18,8.143386,8.183305,8.143386,8.183305,32000
1996-06-19,8.143388,8.143388,8.143388,8.143388,500
1996-06-20,8.143388,8.143388,8.143388,8.143388,0
1996-06-21,8.063549,8.063549,8.063549,8.063549,3000
1996-06-24,8.063549,8.063549,8.063549,8.063549,2500
1996-06-25,8.063550,8.063550,7.983713,7.983713,8250
1996-06-26,7.983713,7.983713,7.983713,7.983713,1300
1996-06-27,7.983713,7.983713,7.983713,7.983713,0
1996-06-28,7.983710,8.103466,7.983710,8.103466,1600
1996-07-01,7.983710,8.103466,7.983710,8.103466,250
1996-07-02,8.103469,8.103469,8.023632,8.023632,12550
1996-07-03,8.023632,8.023632,8.023632,8.023632,0
1996-07-05,8.143388,8.143388,8.143388,8.143388,4300
1996-07-08,8.143388,8.143388,8.143388,8.143388,50
1996-07-09,8.103466,8.103466,8.103466,8.103466,150
1996-07-10,8.103466,8.103466,8.103466,8.103466,0
1996-07-11,8.223225,8.223225,8.143388,8.143388,2400
1996-07-12,8.063547,8.103466,8.063547,8.103466,14050
1996-07-15,8.063550,8.063550,7.983713,7.983713,15800
1996-07-16,7.943794,7.943794,7.744201,7.744201,5250
1996-07-17,7.744201,7.744201,7.744201,7.744201,0
1996-07-18,8.063551,8.063551,8.023632,8.023632,18500
1996-07-19,8.023632,8.023632,8.023632,8.023632,0
1996-07-22,8.023632,8.023632,8.023632,8.023632,0
1996-07-23,8.063549,8.063549,8.063549,8.063549,6350
1996-07-24,7.983713,8.103469,7.983713,7.983713,183150
1996-07-25,8.023632,8.023632,8.023632,8.023632,50
1996-07-26,8.023632,8.023632,8.023632,8.023632,0
1996-07-29,8.063549,8.063549,8.063549,8.063549,150
1996-07-30,8.143388,8.143388,8.143388,8.143388,1100
1996-07-31,8.143385,8.223222,8.143385,8.223222,16400
1996-08-01,8.223223,8.223223,8.183305,8.183305,3750
1996-08-02,8.462735,8.462735,8.303061,8.303061,10000
1996-08-05,8.303061,8.303061,8.303061,8.303061,0
1996-08-06,8.303061,8.303061,8.303061,8.303061,0
1996-08-07,8.303061,8.303061,8.303061,8.303061,0
1996-08-08,8.303061,8.303061,8.303061,8.303061,0
1996-08-09,8.303061,8.303061,8.303061,8.303061,0
1996-08-12,8.382900,8.382900,8.382900,8.382900,300
1996-08-13,8.382900,8.382900,8.382900,8.382900,0
1996-08-14,8.422814,8.422814,8.342977,8.342977,300
1996-08-15,8.422817,8.422817,8.422817,8.422817,1900
1996-08-16,8.422817,8.422817,8.422817,8.422817,0
1996-08-19,8.422817,8.422817,8.422817,8.422817,0
1996-08-20,8.422817,8.422817,8.422817,8.422817,0
1996-08-21,8.462733,8.462733,8.462733,8.462733,1400
1996-08-22,8.582488,8.582488,8.582488,8.582488,200
1996-08-23,8.662327,8.662327,8.622409,8.622409,1100
1996-08-26,8.625664,8.625664,8.625664,8.625664,0
1996-08-27,8.707037,8.707037,8.666350,8.666350,400
1996-08-28,8.584978,8.584978,8.584978,8.584978,3500
1996-08-29,8.625664,8.625664,8.625664,8.625664,1900
1996-08-30,8.503602,8.503602,8.503602,8.503602,400
1996-09-03,8.584976,8.666350,8.584976,8.666350,11350
1996-09-04,8.503602,8.625664,8.503602,8.625664,12650
1996-09-05,8.625664,8.625664,8.625664,8.625664,100
1996-09-06,8.584976,8.666350,8.584976,8.666350,13850
1996-09-09,8.707038,8.707038,8.707038,8.707038,750
1996-09-10,8.707038,8.707038,8.707038,8.707038,550
1996-09-11,8.666350,8.666350,8.666350,8.666350,100
1996-09-12,8.666350,8.666350,8.666350,8.666350,100
1996-09-13,8.788409,8.788409,8.788409,8.788409,300
1996-09-16,8.707035,8.788409,8.707035,8.788409,2850
1996-09-17,8.788409,8.788409,8.788409,8.788409,200
1996-09-18,8.747723,8.788410,8.666348,8.747723,82950
1996-09-19,8.747725,8.747725,8.707038,8.707038,2500
1996-09-20,8.788409,8.788409,8.788409,8.788409,250
1996-09-23,8.625664,8.625664,8.625664,8.625664,2600
1996-09-24,8.707038,8.707038,8.707038,8.707038,2500
1996-09-25,8.625664,8.625664,8.625664,8.625664,800
1996-09-26,8.625664,8.625664,8.625664,8.625664,0
1996-09-27,8.625664,8.625664,8.625664,8.625664,0
1996-09-30,8.747725,8.747725,8.666350,8.666350,6600
1996-10-01,8.869787,8.869787,8.869787,8.869787,2500
1996-10-02,8.869787,8.869787,8.869787,8.869787,0
1996-10-03,8.951159,8.951159,8.951159,8.951159,1050
1996-10-04,8.910473,9.032535,8.910473,9.032535,1000
1996-10-07,8.910476,8.910476,8.910476,8.910476,14500
1996-10-08,8.869789,8.910476,8.869789,8.910476,26400
1996-10-09,8.991845,8.991845,8.829097,8.829097,5250
1996-10-10,8.829097,8.829097,8.829097,8.829097,0
1996-10-11,8.869786,8.991847,8.869786,8.991847,300
1996-10-14,8.991847,8.991847,8.991847,8.991847,0
1996-10-15,8.991847,8.991847,8.991847,8.991847,0
1996-10-16,8.991847,8.991847,8.991847,8.991847,0
1996-10-17,8.951160,9.073222,8.951160,9.032535,28450
1996-10-18,9.073220,9.113907,9.073220,9.073220,54000
1996-10-21,9.113905,9.154593,9.113905,9.154593,3000
1996-10-22,9.195283,9.195283,9.195283,9.195283,700
1996-10-23,9.154596,9.154596,9.113909,9.113909,18350
1996-10-24,8.951159,8.951159,8.951159,8.951159,20000
1996-10-25,8.951159,8.951159,8.951159,8.951159,0
1996-10-28,9.235969,9.235969,9.235969,9.235969,100
1996-10-29,9.235969,9.235969,9.235969,9.235969,0
1996-10-30,9.073222,9.073222,9.032535,9.032535,20900
1996-10-31,9.154593,9.154593,9.154593,9.154593,1000
1996-11-01,9.154593,9.154593,9.154593,9.154593,0
1996-11-04,9.154593,9.154593,9.154593,9.154593,0
1996-11-05,9.195283,9.195283,9.195283,9.195283,250
1996-11-06,9.154596,9.195283,9.154596,9.195283,650
1996-11-07,8.951160,9.032535,8.951160,9.032535,550
1996-11-08,9.032535,9.032535,9.032535,9.032535,0
1996-11-11,9.154596,9.195283,9.154596,9.195283,1950
1996-11-12,9.235969,9.235969,9.235969,9.235969,300
1996-11-13,9.235969,9.235969,9.235969,9.235969,0
1996-11-14,9.195283,9.276657,9.195283,9.276657,500
1996-11-15,9.317344,9.317344,9.235970,9.276657,2000
1996-11-18,9.398720,9.398720,9.398720,9.398720,1000
1996-11-19,9.398718,9.439405,9.398718,9.439405,1750
1996-11-20,9.439405,9.480093,9.439405,9.439405,1100
1996-11-21,10.009026,10.009026,9.439407,9.480094,1000
1996-11-22,9.561467,9.561467,9.561467,9.561467,100
1996-11-25,9.642840,9.642840,9.642840,9.642840,3000
1996-11-26,9.683529,9.683529,9.683529,9.683529,1200
1996-11-27,9.520779,9.520779,9.520779,9.520779,250
1996-11-29,9.724216,9.724216,9.602155,9.602155,250
1996-12-02,9.561468,9.642842,9.520781,9.602155,14100
1996-12-03,9.520781,9.520781,9.439407,9.480094,500
1996-12-04,9.358031,9.398718,9.276657,9.276657,1200
1996-12-05,9.398720,9.398720,9.358033,9.398720,4300
1996-12-06,9.398720,9.398720,9.398720,9.398720,0
1996-12-09,9.398720,9.398720,9.358033,9.398720,2050
1996-12-10,9.398720,9.398720,9.398720,9.398720,0
1996-12-11,9.398720,9.398720,9.398720,9.398720,0
1996-12-12,9.398720,9.398720,9.398720,9.398720,2000
1996-12-13,9.358030,9.358030,9.358030,9.358030,450
1996-12-16,9.276656,9.358030,9.276656,9.358030,1450
1996-12-17,9.358030,9.358030,9.358030,9.358030,800
1996-12-18,9.358030,9.358030,9.358030,9.358030,0
1996-12-19,9.520779,9.520779,9.520779,9.520779,100
1996-12-20,9.683527,9.683527,9.642840,9.642840,3950
1996-12-23,9.651019,9.691913,9.569230,9.691913,8500
1996-12-24,9.691913,9.691913,9.691913,9.691913,900
1996-12-26,9.773702,9.773702,9.773702,9.773702,50
1996-12-27,9.773702,9.773702,9.773702,9.773702,0
1996-12-30,9.814592,9.896381,9.814592,9.814592,395250
1996-12-31,10.019068,10.100857,9.937280,10.100857,8700
1997-01-02,9.814595,9.814595,9.691913,9.691913,600
1997-01-03,9.691913,9.814595,9.691913,9.691913,2350
1997-01-06,9.691913,9.855490,9.691913,9.855490,1750
1997-01-07,9.814592,9.814592,9.814592,9.814592,5550
1997-01-08,9.691910,9.855486,9.691910,9.814592,3200
1997-01-09,9.732804,9.814592,9.651016,9.814592,1400
1997-01-10,9.691913,9.691913,9.610124,9.691913,2000
