Date,Open,High,Low,Close,Volume
1996-03-18,5.322442,5.322442,5.322442,5.322442,100
1996-03-19,5.322442,5.322442,5.322442,5.322442,400
1996-03-20,5.482759,5.514821,5.450696,5.482759,26200
1996-03-21,5.450694,5.450694,5.450694,5.450694,5500
1996-03-22,5.514821,5.546883,5.514821,5.514821,1500
1996-03-25,5.514821,5.514821,5.514821,5.514821,10000
1996-03-26,5.514820,5.643072,5.514820,5.546883,29700
1996-03-27,5.707198,5.707198,5.418632,5.418632,6100
1996-03-28,5.450696,5.482759,5.450696,5.482759,21400
1996-03-29,5.450694,5.450694,5.450694,5.450694,3400
1996-04-01,5.546883,5.611009,5.546883,5.611009,12100
1996-04-02,5.578946,5.611009,5.546883,5.546883,17200
1996-04-03,5.546885,5.578948,5.546885,5.578948,2600
1996-04-04,5.611011,5.611011,5.546885,5.578948,1600
1996-04-08,5.514820,5.514820,5.418631,5.450694,6400
1996-04-09,5.450694,5.450694,5.450694,5.450694,1100
1996-04-10,5.514821,5.514821,5.514821,5.514821,2500
1996-04-11,5.450694,5.450694,5.418632,5.418632,20500
1996-04-12,5.386568,5.739260,5.386568,5.739260,3400
1996-04-15,5.707197,5.835449,5.707197,5.835449,1200
1996-04-16,5.835450,5.835450,5.771324,5.803387,29900
1996-04-17,5.803388,6.027829,5.803388,5.963703,18000
1996-04-18,5.963703,6.091954,5.963703,6.091954,16700
1996-04-19,6.156079,6.188142,5.931639,6.188142,20300
1996-04-22,6.091954,6.220206,6.091954,6.156080,3500
1996-04-23,6.156080,6.156080,6.027828,6.091954,3600
1996-04-24,6.091953,6.091953,6.059890,6.059890,6500
1996-04-25,6.059891,6.059891,5.963702,5.995765,10100
1996-04-26,6.091953,6.091953,6.027827,6.027827,63600
1996-04-29,5.963702,5.963702,5.899576,5.899576,11300
1996-04-30,5.899576,5.931639,5.899576,5.931639,3600
1996-05-01,5.963703,5.963703,5.867514,5.963703,2800
1996-05-02,5.963700,5.963700,5.771322,5.771322,4700
1996-05-03,5.899575,5.899575,5.803387,5.803387,9700
1996-05-06,5.675134,5.675134,5.643071,5.643071,10800
1996-05-07,5.771323,5.803385,5.707197,5.707197,2600
1996-05-08,5.803386,5.867512,5.771324,5.867512,53100
1996-05-09,5.899576,5.931639,5.899576,5.931639,1600
1996-05-10,5.931640,5.963703,5.931640,5.963703,11400
1996-05-13,5.963702,5.995765,5.963702,5.995765,2000
1996-05-14,6.091953,6.091953,6.027827,6.027827,4700
1996-05-15,6.059890,6.059890,6.027827,6.027827,2000
1996-05-16,5.995765,5.995765,5.963702,5.995765,2400
1996-05-17,5.899576,6.059890,5.899576,6.059890,27500
1996-05-20,6.091951,6.124014,6.091951,6.124014,52500
1996-05-21,6.156077,6.220203,6.156077,6.220203,7000
1996-05-22,6.188142,6.188142,6.188142,6.188142,51900
1996-05-23,6.188142,6.220205,6.188142,6.188142,6600
1996-05-24,6.220206,6.220206,6.156080,6.156080,1600
1996-05-28,6.220205,6.220205,6.188142,6.188142,13200
1996-05-29,6.188140,6.188140,6.091951,6.124014,6200
1996-05-30,6.059890,6.124016,6.027827,6.059890,21100
1996-05-31,6.027829,6.027829,5.963703,5.963703,2600
1996-06-03,5.995765,5.995765,5.963702,5.995765,700
1996-06-04,6.091954,6.091954,6.091954,6.091954,1500
1996-06-05,6.124016,6.124016,6.059890,6.059890,1200
1996-06-06,6.091954,6.091954,6.091954,6.091954,400
1996-06-07,5.963703,5.963703,5.963703,5.963703,700
1996-06-10,5.963703,5.963703,5.963703,5.963703,0
1996-06-11,5.995766,5.995766,5.963703,5.963703,3000
1996-06-12,5.899576,5.899576,5.899576,5.899576,200
1996-06-13,5.899576,5.899576,5.899576,5.899576,0
1996-06-14,5.867512,5.867512,5.867512,5.867512,1000
1996-06-17,5.867512,5.867512,5.867512,5.867512,0
1996-06-18,5.963702,5.995765,5.931639,5.931639,142000
1996-06-19,6.027828,6.027828,5.995765,5.995765,2900
1996-06-20,6.027829,6.027829,5.899577,5.963703,2300
1996-06-21,5.899576,5.899576,5.899576,5.899576,2000
1996-06-24,5.803385,5.803385,5.707197,5.707197,5000
1996-06-25,5.835449,5.835449,5.835449,5.835449,200
1996-06-26,5.739261,5.803387,5.739261,5.803387,1400
1996-06-27,5.835450,5.995765,5.835450,5.995765,31600
1996-06-28,5.963703,5.963703,5.963703,5.963703,6900
1996-07-01,5.963700,5.963700,5.835449,5.835449,400
1996-07-02,5.835449,5.867512,5.835449,5.867512,4000
1996-07-03,5.899575,5.899575,5.835449,5.835449,3200
1996-07-05,5.707197,5.707197,5.643071,5.643071,33900
1996-07-08,5.643072,5.643072,5.514821,5.514821,900
1996-07-09,5.578948,5.578948,5.578948,5.578948,3000
1996-07-10,5.546882,5.643071,5.546882,5.643071,800
1996-07-11,5.578946,5.578946,5.450694,5.450694,4500
1996-07-12,5.578948,5.578948,5.578948,5.578948,600
1996-07-15,5.386568,5.386568,5.290380,5.290380,18400
1996-07-16,5.258317,5.258317,5.194191,5.194191,14200
1996-07-17,5.386568,5.450694,5.386568,5.450694,7800
1996-07-18,5.578948,5.578948,5.578948,5.578948,11500
1996-07-19,5.578948,5.578948,5.578948,5.578948,0
1996-07-22,5.514821,5.514821,5.482759,5.482759,8600
1996-07-23,5.450694,5.514820,5.450694,5.450694,30300
1996-07-24,5.418633,5.450696,5.386570,5.386570,37900
1996-07-25,5.482759,5.482759,5.482759,5.482759,100
1996-07-26,5.450696,5.450696,5.386570,5.386570,25500
1996-07-29,5.482759,5.482759,5.354507,5.354507,11000
1996-07-30,5.450694,5.450694,5.418632,5.418632,2100
1996-07-31,5.418633,5.418633,5.386570,5.386570,100000
1996-08-01,5.514819,5.707197,5.514819,5.643071,800
1996-08-02,5.835449,5.835449,5.835449,5.835449,3000
1996-08-05,5.771324,5.803387,5.707198,5.803387,1800
1996-08-06,5.771324,5.803387,5.707198,5.803387,16900
1996-08-07,5.835449,5.899575,5.771323,5.835449,115600
1996-08-08,5.803387,5.803387,5.803387,5.803387,2500
1996-08-09,5.803387,5.803387,5.803387,5.803387,0
1996-08-12,5.899576,5.899576,5.835450,5.899576,6300
1996-08-13,5.963702,5.963702,5.931639,5.931639,7500
1996-08-14,5.931639,5.963702,5.867513,5.899576,9800
