Date,Open,High,Low,Close,Volume
2000-07-14,7.062193,7.109274,7.062193,7.109274,25000
2000-07-17,7.509466,7.533007,7.509466,7.533007,10000
2000-07-18,7.509463,7.509463,7.509463,7.509463,10000
2000-07-19,7.321142,7.321142,7.321142,7.321142,10000
2000-07-20,7.485926,7.485926,7.485926,7.485926,5000
2000-07-21,7.533007,7.533007,7.533007,7.533007,200
2000-07-24,7.533007,7.533007,7.533007,7.533007,0
2000-07-25,7.533007,7.533007,7.533007,7.533007,0
2000-07-26,7.533007,7.533007,7.533007,7.533007,0
2000-07-27,7.438843,7.438843,7.438843,7.438843,100
2000-07-28,7.533006,7.533006,7.297600,7.297600,21300
2000-07-31,7.274059,7.297600,7.274059,7.297600,200
2000-08-01,7.156355,7.250518,7.156355,7.250518,7400
2000-08-02,7.156355,7.156355,7.156355,7.156355,100
2000-08-03,7.109274,7.109274,7.109274,7.109274,10000
2000-08-04,7.297597,7.391759,7.297597,7.391759,700
2000-08-07,7.368219,7.391759,7.321137,7.391759,1100
2000-08-08,7.391759,7.391759,7.391759,7.391759,0
2000-08-09,7.391759,7.391759,7.391759,7.391759,0
2000-08-10,7.156355,7.156355,7.156355,7.156355,200
2000-08-11,7.321142,7.321142,7.321142,7.321142,600
2000-08-14,7.321142,7.321142,7.321142,7.321142,0
2000-08-15,7.627169,7.627169,7.533007,7.533007,5400
2000-08-16,7.533007,7.533007,7.533007,7.533007,0
2000-08-17,7.650712,7.650712,7.650712,7.650712,300
2000-08-18,7.438843,7.438843,7.438843,7.438843,200
2000-08-21,7.438843,7.438843,7.438843,7.438843,300
2000-08-22,7.438843,7.438843,7.438843,7.438843,0
2000-08-23,7.438843,7.438843,7.438843,7.438843,0
2000-08-24,7.386655,7.386655,7.386655,7.386655,15000
2000-08-25,7.482585,7.530550,7.482585,7.530550,2200
2000-08-28,7.578518,7.578518,7.554535,7.554535,500
2000-08-29,7.290725,7.434621,7.290725,7.362673,27300
2000-08-30,7.362673,7.362673,7.362673,7.362673,0
2000-08-31,7.602501,7.626483,7.578518,7.578518,2600
2000-09-01,7.578518,7.578518,7.578518,7.578518,4900
2000-09-05,7.530550,7.530550,7.530550,7.530550,300
2000-09-06,7.746394,7.770376,7.722411,7.770376,2700
2000-09-07,7.818345,7.818345,7.770380,7.794363,4400
2000-09-08,7.674450,7.674450,7.482588,7.482588,1100
2000-09-11,7.482586,7.698430,7.482586,7.674447,1400
2000-09-12,7.554535,7.554535,7.554535,7.554535,500
2000-09-13,7.434620,7.458603,7.386655,7.386655,2100
2000-09-14,7.290725,7.290725,7.290725,7.290725,1100
2000-09-15,7.074879,7.146827,7.074879,7.146827,10600
2000-09-18,7.050902,7.050902,6.954971,6.978954,1000
2000-09-19,6.907004,6.930987,6.907004,6.930987,10500
2000-09-20,6.763107,6.787090,6.763107,6.787090,400
2000-09-21,6.907005,6.907005,6.907005,6.907005,10000
2000-09-22,6.930987,6.930987,6.930987,6.930987,1800
2000-09-25,7.074884,7.074884,7.074884,7.074884,2000
2000-09-26,6.811074,7.002935,6.811074,7.002935,10700
2000-09-27,6.883023,6.883023,6.883023,6.883023,100
2000-09-28,6.883023,6.883023,6.883023,6.883023,0
2000-09-29,6.954970,6.954970,6.954970,6.954970,300
2000-10-02,6.930986,6.930986,6.763108,6.835056,500
2000-10-03,6.739125,6.739125,6.739125,6.739125,5100
2000-10-04,6.739126,6.907005,6.739126,6.907005,200
2000-10-05,6.978954,6.978954,6.978954,6.978954,200
2000-10-06,6.907005,6.907005,6.907005,6.907005,200
2000-10-09,6.595228,6.595228,6.595228,6.595228,100
2000-10-10,6.811071,6.883019,6.715140,6.715140,900
2000-10-11,6.787090,6.787090,6.787090,6.787090,200
2000-10-12,6.547266,6.547266,6.547266,6.547266,500
2000-10-13,6.595230,6.619213,6.571247,6.619213,12200
2000-10-16,6.691159,6.691159,6.691159,6.691159,5800
2000-10-17,6.595230,6.595230,6.523282,6.523282,300
2000-10-18,6.523282,6.523282,6.523282,6.523282,0
2000-10-19,6.595228,6.595228,6.595228,6.595228,2000
2000-10-20,6.475314,6.499297,6.475314,6.499297,1500
2000-10-23,6.403368,6.403368,6.187524,6.187524,300
2000-10-24,6.187524,6.187524,6.187524,6.187524,0
2000-10-25,5.803801,5.803801,5.803801,5.803801,200
2000-10-26,5.827784,5.827784,5.827784,5.827784,100
2000-10-27,5.827784,5.827784,5.827784,5.827784,0
2000-10-30,5.827784,5.827784,5.827784,5.827784,0
2000-10-31,6.187524,6.187524,6.187524,6.187524,500
2000-11-01,6.259471,6.331419,6.259471,6.331419,1200
2000-11-02,6.331419,6.331419,6.331419,6.331419,3100
2000-11-03,6.235489,6.235489,6.043628,6.139558,1800
2000-11-06,6.139558,6.139558,6.139558,6.139558,700
2000-11-07,6.139558,6.139558,6.139558,6.139558,12000
2000-11-08,6.403367,6.403367,6.139558,6.139558,7300
2000-11-09,5.971681,5.971681,5.947699,5.947699,1500
2000-11-10,5.947699,5.947699,5.947699,5.947699,0
2000-11-13,6.043629,6.043629,5.875751,5.875751,4400
2000-11-14,6.139557,6.139557,6.115575,6.115575,300
2000-11-15,6.115575,6.115575,6.115575,6.115575,0
2000-11-16,6.067608,6.067608,6.067608,6.067608,200
2000-11-17,5.851766,5.923714,5.851766,5.899731,2800
2000-11-20,5.899731,5.899731,5.899731,5.899731,0
2000-11-21,5.899731,5.899731,5.899731,5.899731,0
2000-11-22,5.899731,5.899731,5.899731,5.899731,0
2000-11-24,5.899731,5.899731,5.899731,5.899731,0
2000-11-27,5.971681,5.971681,5.875751,5.875751,7800
2000-11-28,5.755836,5.755836,5.635923,5.635923,600
2000-11-29,5.635923,5.635923,5.635923,5.635923,0
2000-11-30,5.539992,5.539992,5.539992,5.539992,13900
2000-12-01,5.539992,5.539992,5.539992,5.539992,0
2000-12-04,5.516010,5.516010,5.516010,5.516010,400
2000-12-05,5.516010,5.516010,5.516010,5.516010,0
2000-12-06,5.803801,5.803801,5.803801,5.803801,1900
2000-12-07,5.779820,5.875751,5.779820,5.875751,4400
2000-12-08,6.091594,6.091594,6.091594,6.091594,43500
2000-12-11,6.211507,6.211507,6.211507,6.211507,3700
2000-12-12,6.259472,6.259472,6.235489,6.235489,3500
2000-12-13,6.115576,6.139558,6.067610,6.139558,39900
2000-12-14,6.235489,6.235489,6.235489,6.235489,5300
2000-12-15,6.139559,6.163541,6.139559,6.163541,700
2000-12-18,6.283455,6.283455,6.283455,6.283455,700
2000-12-19,6.283455,6.283455,6.283455,6.283455,600
2000-12-20,6.069462,6.069462,6.069462,6.069462,700
2000-12-21,5.925522,6.069462,5.925522,6.069462,500
2000-12-22,6.093455,6.093455,5.949515,5.949515,4000
2000-12-26,5.949515,5.949515,5.949515,5.949515,0
2000-12-27,6.093454,6.093454,6.093454,6.093454,600
2000-12-28,6.285375,6.285375,6.285375,6.285375,800
2000-12-29,6.285372,6.333352,6.141432,6.333352,24400
2001-01-02,6.477294,6.477294,6.309365,6.405324,27600
2001-01-03,6.381334,6.909114,6.381334,6.909114,2700
2001-01-04,6.861129,6.885119,6.813149,6.813149,4000
