Date,Open,High,Low,Close,Volume
2003-02-07,8.277534,8.277534,8.224905,8.227011,2602400
2003-02-10,8.231224,8.231224,8.199647,8.199647,50400
2003-02-11,8.199647,8.199647,8.199647,8.199647,0
2003-02-12,8.199647,8.199647,8.199647,8.199647,0
2003-02-13,8.075442,8.075442,8.075442,8.075442,200
2003-02-14,8.075442,8.075442,8.075442,8.075442,0
2003-02-18,8.125965,8.125965,8.125965,8.125965,400
2003-02-19,8.088069,8.115437,8.088069,8.115437,70000
2003-02-20,8.170174,8.170174,8.170174,8.170174,20000
2003-02-21,8.279641,8.279641,8.279641,8.279641,2600
2003-02-24,8.231223,8.231223,8.231223,8.231223,200
2003-02-25,8.090176,8.102807,8.090176,8.102807,2600
2003-02-26,8.102807,8.102807,8.102807,8.102807,0
2003-02-27,8.102807,8.102807,8.102807,8.102807,0
2003-02-28,8.102807,8.102807,8.102807,8.102807,0
2003-03-03,8.102807,8.102807,8.102807,8.102807,0
2003-03-04,8.102807,8.102807,8.102807,8.102807,0
2003-03-05,8.102807,8.102807,8.102807,8.102807,0
2003-03-06,8.102807,8.102807,8.102807,8.102807,0
2003-03-07,7.850189,7.860714,7.843873,7.843873,800
2003-03-10,7.808085,7.808085,7.808085,7.808085,2800
2003-03-11,7.808085,7.808085,7.808085,7.808085,0
2003-03-12,7.576513,7.576513,7.563882,7.563882,1600
2003-03-13,7.719666,7.719666,7.719666,7.719666,400
2003-03-14,7.719666,7.719666,7.719666,7.719666,0
2003-03-17,7.856503,7.856503,7.856503,7.856503,200
2003-03-18,7.934393,7.934393,7.934393,7.934393,200
2003-03-19,7.934393,7.934393,7.934393,7.934393,0
2003-03-20,7.965969,7.965969,7.953338,7.953338,2000
2003-03-21,7.953338,7.953338,7.953338,7.953338,0
2003-03-24,7.953338,7.953338,7.953338,7.953338,0
2003-03-25,7.953338,7.953338,7.953338,7.953338,0
2003-03-26,7.757560,7.757560,7.757560,7.757560,200
2003-03-27,7.702827,7.702827,7.702827,7.702827,200
2003-03-28,7.599671,7.599671,7.599671,7.599671,600
2003-03-31,7.599671,7.599671,7.599671,7.599671,0
2003-04-01,7.599671,7.599671,7.599671,7.599671,0
2003-04-02,7.599671,7.599671,7.599671,7.599671,0
2003-04-03,7.599671,7.599671,7.599671,7.599671,0
2003-04-04,7.791239,7.805976,7.791239,7.805976,21200
2003-04-07,7.999654,7.999654,7.925973,7.947025,9600
2003-04-08,7.947025,7.947025,7.947025,7.947025,0
2003-04-09,7.848082,7.848082,7.848082,7.848082,200
2003-04-10,7.848082,7.848082,7.848082,7.848082,0
2003-04-11,7.942813,7.942813,7.942813,7.942813,19400
2003-04-14,8.031231,8.031231,8.031231,8.031231,200
2003-04-15,7.999652,7.999652,7.999652,7.999652,600
2003-04-16,8.018601,8.018601,8.018601,8.018601,1000
