Date,Open,High,Low,Close,Volume
2007-04-11,31.546589,31.558682,31.546589,31.546589,1900
2007-04-12,31.567760,31.567760,31.546598,31.567760,6100
2007-04-13,31.558696,31.588927,31.510326,31.510326,3400
2007-04-16,31.522421,31.522421,31.486145,31.498238,7600
2007-04-17,31.486153,31.561732,31.483130,31.483130,28100
2007-04-18,31.498229,31.522413,31.486136,31.492182,6300
2007-04-19,31.501258,31.613116,31.458934,31.601023,47500
2007-04-20,31.604021,31.604021,31.576811,31.582859,4900
2007-04-23,31.619161,31.640325,31.576837,31.601023,1700
2007-04-24,31.619164,31.836831,31.567771,31.818693,398500
2007-04-25,31.827752,31.867054,31.827752,31.867054,16300
2007-04-26,31.873127,31.924520,31.830803,31.924520,48200
2007-04-27,31.897313,31.924520,31.897313,31.924520,8300
2007-04-30,31.912404,31.933566,31.842873,31.927521,15500
2007-05-01,31.913282,31.961788,31.913282,31.931473,8600
2007-05-02,31.937523,31.949650,31.892049,31.919334,4700
2007-05-03,31.943594,31.976941,31.892055,31.922373,17200
2007-05-04,31.937520,31.964805,31.895078,31.961773,4600
2007-05-07,31.928433,31.958748,31.922371,31.958748,4200
2007-05-08,31.995102,31.998134,31.967816,31.982975,16100
2007-05-09,32.010274,32.013306,31.879919,31.898108,9400
2007-05-10,32.043651,32.076999,31.986053,32.013336,17400
2007-05-11,32.025434,32.067875,32.001180,32.031498,12200
2007-05-14,32.040584,32.043614,31.998142,32.028458,11600
2007-05-15,32.043621,32.113348,32.004211,32.004211,39400
2007-05-16,32.083038,32.092132,32.080006,32.089100,78100
2007-05-17,32.101230,32.113357,32.040600,32.080009,14500
2007-05-18,32.119415,32.119415,32.089100,32.089100,5200
2007-05-21,32.116404,32.122467,32.089119,32.119434,14600
2007-05-22,32.158862,32.161892,32.052758,32.122482,10200
2007-05-23,32.110309,32.167910,32.043614,32.098183,22500
2007-05-24,32.146705,32.146705,32.089105,32.107296,17100
2007-05-25,32.125484,32.277062,32.073948,32.152767,7400
2007-05-29,32.043614,32.049678,32.007236,32.025425,4900
2007-05-30,32.095153,32.116374,32.058773,32.098183,4300
2007-05-31,32.101249,32.101249,32.028492,32.046680,6200
2007-06-01,32.042377,32.048473,31.993601,32.042377,13500
2007-06-04,32.069813,32.075911,32.014940,32.069813,21800
2007-06-05,32.072864,32.072864,32.024090,32.024090,4500
2007-06-06,32.008870,32.027160,31.972288,31.984482,74600
2007-06-07,31.929571,31.929571,31.764954,31.835070,12100
2007-06-08,31.768040,31.786330,31.679634,31.749750,17800
2007-06-11,31.673550,31.725374,31.582095,31.682695,2900
2007-06-12,31.633902,31.636951,31.420511,31.521111,67300
2007-06-13,31.591230,31.646102,31.359548,31.575989,24600
2007-06-14,31.502796,31.600349,31.447926,31.600349,18200
2007-06-15,31.551602,31.606474,31.551602,31.594280,13500
2007-06-18,31.676586,31.676586,31.521113,31.612566,14600
2007-06-19,31.655215,31.655215,31.508890,31.652168,19600
2007-06-20,31.655239,31.655239,31.371735,31.371735,16900
2007-06-21,31.399182,31.530266,31.399182,31.429667,13900
2007-06-22,31.466235,31.508914,31.350392,31.490623,27800
2007-06-25,31.490632,31.502824,31.292481,31.307722,29000
2007-06-26,31.380874,31.457086,31.307709,31.399164,43600
2007-06-27,31.335152,31.338201,31.240651,31.289425,6800
2007-06-28,31.261995,31.289430,31.072990,31.124813,9500
2007-06-29,31.124798,31.246737,31.036392,31.036392,14600
2007-07-02,31.187578,31.362375,31.095580,31.279577,19600
2007-07-03,31.248933,31.248933,31.156934,31.221333,11700
2007-07-05,31.233574,31.236641,30.966779,31.107843,14600
2007-07-06,31.104775,31.215173,31.006643,31.141575,8200
2007-07-09,31.104797,31.273462,31.092530,31.236662,8400
2007-07-10,31.120122,31.202920,30.972923,31.153852,19700
2007-07-11,31.163027,31.166091,30.837963,30.920763,17200
2007-07-12,30.972904,31.012770,30.883972,31.012770,8300
2007-07-13,31.064909,31.144640,30.972910,31.141575,5200
2007-07-16,31.086389,31.221319,31.052656,31.153852,17100
2007-07-17,31.187593,31.190660,31.040396,31.190660,10600
2007-07-18,31.178395,31.178395,30.911600,30.957598,15600
2007-07-19,30.982105,30.991304,30.982105,30.991304,6400
2007-07-20,30.966780,31.071045,30.847180,30.911581,18600
2007-07-23,30.880918,30.883985,30.819586,30.844120,9000
2007-07-24,30.819595,30.822662,30.623331,30.666264,44900
2007-07-25,30.635590,30.635590,30.261462,30.374928,28100
2007-07-26,30.206257,30.512920,29.559199,29.945595,43200
2007-07-27,29.746260,29.746260,29.283199,29.445730,44600
2007-07-30,29.743197,29.752397,29.546933,29.730930,24600
2007-07-31,29.746250,30.114244,29.746250,29.832115,34000
2007-08-01,29.890771,29.890771,29.403088,29.770393,33500
2007-08-02,29.937083,30.042029,29.937083,29.940170,28800
2007-08-03,30.048201,30.048201,29.748799,29.940170,20100
2007-08-06,30.480306,30.480306,29.646921,29.875330,30400
2007-08-07,30.634650,30.634650,29.878430,30.088320,68800
2007-08-08,30.557468,31.020460,30.248806,30.443262,30300
2007-08-09,30.440216,30.532813,30.251932,30.412436,12800
2007-08-10,30.310552,30.363026,30.171655,30.350679,18800
2007-08-13,30.563654,30.572916,30.372286,30.572916,21300
2007-08-14,30.656275,30.656275,30.301313,30.335266,12400
2007-08-15,30.356867,30.569845,30.335261,30.505026,9100
2007-08-16,30.866148,30.866148,30.242653,30.464888,15300
2007-08-17,30.557494,30.866155,30.434029,30.773556,30000
2007-08-20,30.866141,30.866141,30.480314,30.480314,49300
2007-08-21,30.634655,30.819852,30.267347,30.322906,33700
2007-08-22,30.434013,30.619209,30.279682,30.557478,52700
2007-08-23,30.609966,30.804425,30.557495,30.742691,59400
2007-08-24,30.773551,30.819851,30.606876,30.819851,11600
2007-08-27,30.866154,31.020485,30.835288,31.020485,11800
2007-08-28,31.020484,31.143949,30.866153,30.912453,55800
2007-08-29,30.866147,31.143943,30.764288,31.035912,18300
2007-08-30,31.094556,31.187156,30.934053,31.100731,42900
2007-08-31,31.322976,31.384708,31.177905,31.381620,11300
2007-09-04,31.668254,31.668254,31.367006,31.599930,13500
2007-09-05,31.568870,31.640298,31.438433,31.612349,14400
2007-09-06,31.519192,31.596833,31.519192,31.593729,16400
2007-09-07,31.646522,31.646522,31.196202,31.233471,50700
2007-09-10,31.522302,31.522302,31.245900,31.367020,10000
2007-09-11,31.516084,31.677576,31.367012,31.624781,24100
2007-09-12,31.677587,31.832869,31.485036,31.767651,32000
2007-09-13,31.755232,31.755232,31.435351,31.655851,10900
2007-09-14,31.662063,31.969524,31.435352,31.953995,33900
2007-09-17,31.988149,32.143432,31.789388,32.099953,20100
2007-09-18,32.221072,32.410517,31.981938,32.329769,31400
2007-09-19,32.376339,32.950883,32.360810,32.947777,85900
2007-09-20,32.932280,32.932280,31.988163,32.140339,410400
2007-09-21,32.606161,32.733494,31.708630,32.221062,105100
2007-09-24,31.888756,32.438454,31.879439,32.438454,45500
2007-09-25,31.988154,32.516113,31.988154,32.516113,167500
2007-09-26,32.516116,32.516116,32.339094,32.398102,25300
2007-09-27,32.453984,32.469514,31.416700,32.298702,49200
2007-09-28,32.444668,32.447774,32.174476,32.298702,46700
2007-10-01,32.647144,32.656519,32.290892,32.422142,50300
2007-10-02,32.040881,32.497135,32.040881,32.484634,72100
2007-10-03,32.500260,32.647137,32.287759,32.312759,35300
2007-10-04,32.437777,32.484651,32.278400,32.450275,17600
2007-10-05,32.490911,32.500286,32.350284,32.469036,22900
2007-10-08,32.569055,32.622180,32.456554,32.578430,18600
