Date,Open,High,Low,Close,Volume
1980-03-17,0.668839,0.678852,0.668839,0.668839,685877
1980-03-18,0.664834,0.664834,0.662831,0.662831,383824
1980-03-19,0.662831,0.662831,0.656824,0.658827,470602
1980-03-20,0.658826,0.658826,0.636799,0.638801,522334
1980-03-21,0.638802,0.642807,0.638802,0.640804,420538
1980-03-24,0.640804,0.640804,0.634797,0.636799,400512
1980-03-25,0.636799,0.644809,0.634797,0.640804,145186
1980-03-26,0.640804,0.652819,0.638801,0.646811,423875
1980-03-27,0.646811,0.648814,0.638801,0.646811,275352
1980-03-28,0.646811,0.648814,0.640804,0.648814,317072
1980-03-31,0.644809,0.644809,0.636799,0.644809,91784
1980-04-01,0.644809,0.654821,0.644809,0.652818,290371
1980-04-02,0.652819,0.656824,0.648814,0.648814,540691
1980-04-03,0.648814,0.650816,0.642806,0.648814,215275
1980-04-07,0.648814,0.648814,0.632794,0.632794,659176
1980-04-08,0.632794,0.636799,0.632794,0.634796,116816
1980-04-09,0.634796,0.636799,0.622781,0.624784,136842
1980-04-10,0.626786,0.628789,0.626786,0.626786,525672
1980-04-11,0.626786,0.628788,0.604759,0.604759,380486
1980-04-14,0.604759,0.614771,0.604759,0.612769,664182
1980-04-15,0.612769,0.618776,0.610766,0.610766,343773
1980-04-16,0.614771,0.624784,0.614771,0.620779,365467
1980-04-17,0.620778,0.628788,0.618776,0.622781,488958
1980-04-18,0.622781,0.632794,0.622781,0.624784,392168
1980-04-21,0.622781,0.622781,0.608764,0.608764,979586
1980-04-22,0.610766,0.616774,0.610766,0.616774,669189
1980-04-23,0.616774,0.616774,0.604759,0.610766,1425155
1980-04-24,0.610766,0.632794,0.606761,0.626786,942872
1980-04-25,0.626786,0.630791,0.620779,0.626786,370474
1980-04-28,0.630791,0.652819,0.630791,0.648814,283696
1980-04-29,0.650816,0.676849,0.650816,0.676849,138510
1980-04-30,0.676849,0.676849,0.664834,0.664834,113478
1980-05-01,0.664834,0.668839,0.658827,0.660829,135173
1980-05-02,0.660829,0.664834,0.656824,0.660829,61746
1980-05-05,0.660829,0.660829,0.650816,0.654822,452245
1980-05-06,0.654822,0.668839,0.650817,0.662831,267008
1980-05-07,0.662831,0.670842,0.660829,0.660829,180230
1980-05-08,0.658826,0.658826,0.648814,0.652818,310397
1980-05-09,0.652819,0.658827,0.650816,0.654822,163542
1980-05-12,0.654822,0.662831,0.654822,0.660829,267008
1980-05-13,0.660829,0.672844,0.656824,0.670841,1017968
1980-05-14,0.674847,0.702882,0.674847,0.702882,325416
1980-05-15,0.704885,0.722907,0.704885,0.718902,348779
1980-05-16,0.718902,0.718902,0.708889,0.712894,166880
1980-05-19,0.712894,0.712894,0.708889,0.708889,714246
1980-05-20,0.708890,0.716900,0.708890,0.710892,171886
1980-05-21,0.710892,0.712894,0.708889,0.712894,46726
1980-05-22,0.712894,0.718902,0.712894,0.712894,213606
1980-05-23,0.712894,0.718902,0.712894,0.716899,160205
1980-05-27,0.716900,0.720905,0.712895,0.718902,282027
1980-05-28,0.714897,0.714897,0.706887,0.714897,73427
1980-05-29,0.714897,0.718902,0.708889,0.708889,98459
1980-05-30,0.708889,0.708889,0.696874,0.708889,255326
1980-06-02,0.708889,0.718902,0.704884,0.716899,981254
1980-06-03,0.716900,0.718902,0.710892,0.718902,170218
1980-06-04,0.718902,0.720905,0.712895,0.718902,632475
1980-06-05,0.718902,0.718902,0.714897,0.718902,350448
1980-06-06,0.718902,0.720904,0.716900,0.720904,231963
1980-06-09,0.704884,0.704884,0.700879,0.702882,186906
1980-06-10,0.702881,0.704884,0.698876,0.704884,267008
1980-06-11,0.704884,0.708889,0.700879,0.708889,1570341
1980-06-12,0.708889,0.708889,0.704884,0.708889,1516939
1980-06-13,0.708889,0.710891,0.704884,0.704884,83440
1980-06-16,0.708890,0.720904,0.708890,0.720904,382155
1980-06-17,0.720904,0.734922,0.720904,0.730917,275352
1980-06-18,0.730917,0.732919,0.726912,0.732919,113478
1980-06-19,0.732919,0.732919,0.728914,0.730917,83440
1980-06-20,0.732919,0.734922,0.732919,0.732919,208600
1980-06-23,0.732919,0.734922,0.728914,0.732919,58408
1980-06-24,0.732920,0.738927,0.724909,0.736925,358792
1980-06-25,0.738927,0.748940,0.738927,0.742932,116816
1980-06-26,0.742932,0.748939,0.742932,0.748939,811037
1980-06-27,0.748939,0.748939,0.744934,0.746937,101797
1980-06-30,0.746937,0.748939,0.730917,0.730917,524003
1980-07-01,0.734921,0.746937,0.734921,0.746937,148523
1980-07-02,0.746937,0.750942,0.736924,0.748939,1266619
