date,ticker,region,side,z1,z5,price,bench,bench_px,fwd5x,fwd20x
2026-07-30,ULVR.L,UK,up,4.33,1.91,4998.0,^FTSE,10908.4,,
2026-07-30,ADBE,US,up,2.29,3.26,263.43,^GSPC,7316.15,,
2026-07-30,BARC.L,UK,down,-3.36,-1.61,505.0,^FTSE,10908.4,,
2026-07-30,REL.L,UK,up,2.26,2.7,2832.0,^FTSE,10908.4,,
2026-07-30,ACN,US,up,1.79,3.12,173.17,^GSPC,7316.15,,
2026-07-30,6501.T,JP,up,2.11,2.67,5243.0,^N225,61704.45,,
2026-07-30,KO,US,up,1.33,2.64,89.08,^GSPC,7316.15,,
2026-07-30,7974.T,JP,up,0.52,3.23,8157.0,^N225,61704.45,,
2026-07-30,7203.T,JP,up,-1.19,2.53,3145.0,^N225,61704.45,,
2026-07-30,6902.T,JP,up,-0.46,3.24,2193.5,^N225,61704.45,,
2026-07-30,TSLA,US,down,-0.53,-2.88,298.32,^GSPC,7316.15,,
2026-07-30,6861.T,JP,up,0.31,2.65,78580.0,^N225,61704.45,,
2026-07-30,6758.T,JP,up,-0.32,2.62,3790.0,^N225,61704.45,,
2026-07-30,RTX,US,up,-0.0,2.93,215.25,^GSPC,7316.15,,
2026-07-30,LMT,US,up,-0.25,2.59,569.2,^GSPC,7316.15,,
2026-07-30,VOW3.DE,DE,up,2.75,0.02,73.92,^GDAXI,25460.48,,
2026-07-30,RTO.L,UK,down,-7.28,-3.26,345.7,^FTSE,10897.27,,
2026-07-30,CHRW,US,down,-5.42,-4.27,148.29,^GSPC,7389.77,,
2026-07-30,ADS.DE,DE,down,-6.4,-2.88,151.75,^GDAXI,25612.03,,
2026-07-30,BAX,US,up,4.41,4.76,28.09,^GSPC,7389.77,,
2026-07-30,MSFT,US,up,5.53,3.22,445.27,^GSPC,7389.77,,
2026-07-30,CMG,US,up,4.48,3.68,38.28,^GSPC,7389.77,,
2026-07-30,SAN.PA,FR,down,-5.65,-1.78,72.75,^FCHI,8485.64,,
2026-07-30,AVY,US,up,3.3,3.85,178.65,^GSPC,7389.77,,
2026-07-30,LHX,US,down,-4.61,-1.94,268.57,^GSPC,7389.77,,
2026-07-30,EME,US,up,5.85,0.43,787.59,^GSPC,7389.77,,
2026-07-30,DG.PA,FR,up,4.56,1.54,124.5,^FCHI,8485.64,,
2026-07-30,SU.PA,FR,up,4.95,1.12,284.85,^FCHI,8485.64,,
2026-07-30,8035.T,JP,down,-3.08,-2.6,50000.0,^N225,61434.19,,
2026-07-30,META,US,down,-3.51,-1.89,538.54,^GSPC,7389.77,,
2026-07-30,CTSH,US,up,-2.32,2.98,52.28,^GSPC,7389.77,,
2026-07-30,7267.T,JP,up,2.49,2.74,1688.5,^N225,61434.19,,
2026-07-30,VTR,US,down,-3.69,-1.41,91.63,^GSPC,7389.77,,
2026-07-30,SGE.L,UK,up,-2.08,2.93,970.2,^FTSE,10897.27,,
2026-07-30,CPRT,US,down,-3.45,1.46,28.95,^GSPC,7389.77,,
2026-07-30,ESS,US,down,-3.84,-1.01,282.3,^GSPC,7389.77,,
2026-07-30,LRCX,US,up,4.33,-0.48,303.7,^GSPC,7389.77,,
2026-07-30,LII,US,down,-1.5,-3.3,414.47,^GSPC,7389.77,,
2026-07-30,ROP,US,down,-3.17,1.55,382.5,^GSPC,7389.77,,
2026-07-30,PWR,US,up,4.3,-0.34,637.58,^GSPC,7389.77,,
2026-07-30,FICO,US,down,-4.18,-0.43,1156.8,^GSPC,7389.77,,
2026-07-30,IT,US,down,-2.97,1.63,150.23,^GSPC,7389.77,,
2026-07-30,SAP.DE,DE,up,-1.68,2.9,155.56,^GDAXI,25612.03,,
2026-07-30,GRMN,US,up,-1.1,3.46,289.16,^GSPC,7389.77,,
2026-07-30,SOLV,US,up,-1.64,2.9,86.66,^GSPC,7389.77,,
2026-07-30,8001.T,JP,up,1.94,2.59,2043.0,^N225,61434.19,,
2026-07-30,CAP.PA,FR,up,-1.77,2.72,102.75,^FCHI,8485.64,,
2026-07-30,AMAT,US,up,3.25,-1.18,499.82,^GSPC,7389.77,,
2026-07-30,ODFL,US,down,-2.8,-1.63,210.34,^GSPC,7389.77,,
2026-07-30,MO,US,down,-3.69,-0.7,69.31,^GSPC,7389.77,,
