Date,Open,High,Low,Close,Volume
1993-02-23,3.537457,3.592730,3.385457,3.426912,40594800
1993-02-24,3.482185,3.565094,3.440730,3.523639,9426400
1993-02-25,3.537458,3.606549,3.523640,3.606549,5229200
1993-02-26,3.606550,3.661823,3.551277,3.661823,2761200
1993-03-01,3.620368,3.634186,3.537459,3.537459,3014400
1993-03-02,3.565098,3.648007,3.551280,3.634189,3022800
1993-03-03,3.620369,3.675642,3.592733,3.620369,2808800
1993-03-04,3.606549,3.648004,3.606549,3.606549,1783600
1993-03-05,3.592732,3.689460,3.537460,3.675642,3868800
1993-03-08,3.648005,3.675641,3.620368,3.661823,2516000
1993-03-09,3.648006,3.813824,3.648006,3.772370,2449200
1993-03-10,3.744731,3.938186,3.730913,3.924367,3192800
1993-03-11,3.965822,3.965822,3.882913,3.924367,1276400
1993-03-12,3.896731,4.007277,3.758549,3.993459,2958800
1993-03-15,3.979640,3.979640,3.896731,3.924367,1858400
1993-03-16,3.896735,3.938190,3.827644,3.841462,2182000
1993-03-17,3.841458,3.882912,3.800003,3.882912,2413600
1993-03-18,3.869093,3.993457,3.869093,3.979639,1765200
1993-03-19,4.007278,4.007278,3.938187,3.938187,2397600
1993-03-22,3.952004,3.952004,3.882913,3.924367,729200
1993-03-23,3.924371,3.924371,3.841462,3.841462,924000
1993-03-24,3.841460,3.841460,3.689460,3.800005,1787600
1993-03-25,3.772369,3.800005,3.717096,3.800005,1080400
1993-03-26,3.924371,4.048735,3.910553,4.048735,2376800
1993-03-29,4.021096,4.090187,3.952005,4.090187,1273600
1993-03-30,4.145461,4.242189,4.104007,4.242189,1463600
1993-03-31,4.256007,4.338916,4.228371,4.242189,1856000
1993-04-01,4.186914,4.200733,4.062551,4.090187,1410000
1993-04-02,4.034914,4.104005,3.938187,3.938187,1338800
1993-04-05,3.924368,4.021095,3.924368,4.007277,873200
1993-04-06,4.021096,4.034914,3.952005,3.952005,763200
1993-04-07,3.938186,4.021095,3.938186,4.007277,240400
1993-04-08,4.007277,4.007277,3.979641,3.993459,304000
1993-04-12,3.993460,4.090187,3.993460,4.090187,217600
1993-04-13,4.145461,4.242188,4.145461,4.214552,937600
1993-04-14,4.214551,4.338915,4.214551,4.325097,689600
1993-04-15,4.269824,4.269824,4.090187,4.145460,1319600
1993-04-16,4.173096,4.200733,4.117824,4.131642,1452400
1993-04-19,4.104005,4.131641,4.021095,4.034914,861600
1993-04-20,4.076367,4.104004,3.827640,3.910549,2764000
1993-04-21,3.910551,3.965824,3.855278,3.855278,1372800
1993-04-22,3.855278,3.924369,3.841460,3.855278,1387600
1993-04-23,3.841460,3.855278,3.758551,3.800005,660400
1993-04-26,3.813822,3.841459,3.675640,3.717095,1847200
1993-04-27,3.675639,3.758548,3.606548,3.758548,1674000
1993-04-28,3.786187,3.841460,3.744733,3.827642,726800
1993-04-29,3.827641,3.855278,3.813823,3.813823,228800
1993-04-30,3.827642,4.311279,3.827642,4.283642,3105600
1993-05-03,4.200733,4.200733,4.034915,4.062551,2001200
1993-05-04,4.090187,4.117823,4.048732,4.090187,826000
1993-05-05,4.076371,4.076371,4.034916,4.048735,512000
1993-05-06,4.048733,4.048733,3.979642,4.021097,183200
1993-05-07,4.034914,4.062550,4.021095,4.034914,245200
1993-05-10,4.048732,4.117823,4.048732,4.090187,708800
1993-05-11,4.090187,4.090187,4.034914,4.076369,568800
1993-05-12,4.076369,4.104005,4.048732,4.076369,258000
1993-05-13,4.048730,4.048730,3.979639,3.979639,163200
1993-05-14,3.965821,3.965821,3.800003,3.869094,848000
1993-05-17,3.869096,3.965823,3.855277,3.938187,382000
1993-05-18,3.924368,3.924368,3.855277,3.896732,883600
1993-05-19,3.882914,3.965823,3.882914,3.938187,514800
1993-05-20,3.965821,3.965821,3.841457,3.869094,936800
1993-05-21,3.841457,3.841457,3.744730,3.758548,834000
1993-05-24,3.744733,3.827642,3.730915,3.827642,262400
1993-05-25,3.838727,3.852585,3.797152,3.824868,662400
1993-05-26,3.824872,4.074320,3.824872,4.060462,659200
1993-05-27,4.046601,4.088176,3.880302,3.894161,1011600
1993-05-28,3.880303,3.880303,3.783296,3.811012,1338800
1993-06-01,3.811012,3.852587,3.811012,3.838729,330400
1993-06-02,3.838727,3.880302,3.838727,3.866443,295600
1993-06-03,3.880302,3.880302,3.797153,3.797153,178800
1993-06-04,3.769435,3.824868,3.755577,3.755577,211200
1993-06-07,3.755577,3.769435,3.727860,3.755577,314400
1993-06-08,3.755577,3.769435,3.741719,3.755577,295200
