Date,Open,High,Low,Close,Volume
2003-05-01,17.666218,17.902350,17.608496,17.837633,157200
2003-05-02,17.818408,18.169983,17.818408,18.169983,61200
2003-05-05,18.204968,18.287177,18.145497,18.208466,140000
2003-05-06,18.225952,18.437599,18.225952,18.353640,30000
2003-05-07,18.243436,18.413100,18.190961,18.281916,20800
2003-05-08,18.114002,18.204957,18.077270,18.084267,92800
2003-05-09,18.225957,18.381630,18.145497,18.339651,28800
2003-05-12,18.365885,18.694721,18.339647,18.680729,36800
2003-05-13,18.628257,18.724460,18.579281,18.637003,16800
2003-05-14,18.666736,18.680729,18.593272,18.680729,35600
2003-05-15,18.820665,18.874889,18.720965,18.874889,41600
2003-05-16,18.832906,18.908119,18.710468,18.908119,44800
2003-05-19,18.829404,18.829404,18.416609,18.416609,38800
2003-05-20,18.514553,18.537292,18.248685,18.393864,224400
2003-05-21,18.348394,18.467335,18.269682,18.467335,617600
2003-05-22,18.514564,18.757693,18.514564,18.729708,17200
2003-05-23,18.698224,18.841652,18.677234,18.834656,124800
2003-05-27,18.785683,19.242207,18.785683,19.240458,28800
2003-05-28,19.289424,19.364637,19.201968,19.291174,136000
2003-05-29,19.333151,19.466085,19.184475,19.222956,92000
2003-05-30,19.362892,19.599026,19.359394,19.599026,19600
2003-06-02,19.782679,19.929607,19.707466,19.707466,49200
2003-06-03,19.668986,19.756442,19.613013,19.700470,129200
2003-06-04,19.703968,20.120261,19.703968,20.113264,144400
2003-06-05,19.990825,20.254944,19.990825,20.254944,31200
2003-06-06,20.456098,20.671242,20.150000,20.150000,57200
2003-06-09,20.010069,20.038055,19.791428,19.822912,104000
2003-06-10,19.975080,19.992573,19.847394,19.966335,70400
2003-06-11,19.940108,20.309175,19.940108,20.309175,88800
2003-06-12,20.438609,20.438609,20.256699,20.393131,54400
2003-06-13,20.386127,20.386127,20.020557,20.080029,155600
2003-06-16,20.202474,20.485834,20.163993,20.485834,63200
2003-06-17,20.543558,20.543558,20.394882,20.522570,34800
2003-06-18,20.429864,20.543556,20.351152,20.426365,29200
2003-06-19,20.482328,20.526056,20.153491,20.160488,62400
2003-06-20,20.254952,20.377391,20.134262,20.141258,78000
2003-06-23,19.896370,19.896370,19.765185,19.857889,32000
2003-06-24,19.800173,19.870138,19.668988,19.800173,109200
2003-06-25,19.861395,19.954099,19.695227,19.695227,36800
2003-06-26,19.686478,19.896374,19.672485,19.864889,70000
2003-06-27,19.941853,19.948850,19.747699,19.754696,22400
2003-06-30,19.913857,19.913857,19.703962,19.768679,53600
2003-07-01,19.703974,19.852650,19.462593,19.835159,62400
2003-07-02,19.852645,20.087029,19.852645,20.087029,117600
2003-07-03,19.990831,20.122015,19.866642,19.976837,25200
2003-07-07,20.202479,20.356402,20.202479,20.312674,47600
2003-07-08,20.324915,20.501577,20.263695,20.501577,48800
2003-07-09,20.421113,20.554047,20.380882,20.513817,21600
2003-07-10,20.333652,20.333652,20.041548,20.130753,24800
2003-07-11,20.228715,20.316171,20.198980,20.253202,17200
2003-07-14,20.485833,20.606522,20.466592,20.548801,28800
2003-07-15,20.508566,20.508566,20.267186,20.289925,98000
2003-07-16,20.351146,20.351146,20.048547,20.113264,27200
2003-07-17,20.039802,20.039802,19.817663,19.817663,14800
2003-07-18,19.861392,20.113266,19.861392,20.087029,22800
2003-07-21,19.875381,19.875381,19.817660,19.824656,70800
2003-07-22,19.817663,20.080033,19.817663,20.073036,26800
2003-07-23,20.097520,20.097520,19.908613,19.908613,22400
2003-07-24,20.228709,20.295176,19.992577,19.992577,16400
2003-07-25,20.088779,20.298676,20.073037,20.298676,10000
2003-07-28,20.394881,20.394881,20.312672,20.338909,15200
2003-07-29,20.349400,20.349400,20.090529,20.184982,14800
2003-07-30,20.169232,20.249692,20.142996,20.142996,24800
2003-07-31,20.228710,20.492829,20.228710,20.233957,126000
2003-08-01,20.074786,20.125511,20.024063,20.104523,48000
2003-08-04,20.078288,20.118517,19.817668,20.069542,39600
2003-08-05,20.053802,20.053802,19.705725,19.705725,42400
2003-08-06,19.668998,19.845661,19.621772,19.756454,24800
2003-08-07,19.730204,19.849145,19.728454,19.824656,25600
2003-08-08,19.910372,19.927863,19.838657,19.898129,62800
2003-08-11,19.982082,20.050298,19.849149,19.978584,16400
2003-08-12,19.978575,20.183223,19.978575,20.169230,64400
2003-08-13,20.281178,20.281178,20.123757,20.132502,48400
2003-08-14,20.226951,20.359886,20.193718,20.344143,34400
2003-08-15,20.387880,20.387880,20.387880,20.387880,4400
2003-08-18,20.429872,20.622276,20.429872,20.622276,74800
2003-08-19,20.674733,20.751696,20.587277,20.751696,67200
2003-08-20,20.657247,20.812920,20.639756,20.760447,50800
2003-08-21,20.872388,20.994827,20.805920,20.931858,121200
2003-08-22,21.094534,21.098033,20.700979,20.700979,108400
2003-08-25,20.674743,20.674743,20.589036,20.660751,42400
2003-08-26,20.639756,20.739456,20.433358,20.739456,18000
2003-08-27,20.692237,20.805929,20.692237,20.805929,14400
2003-08-28,20.849655,20.984339,20.704478,20.984339,9200
2003-08-29,20.867147,21.154005,20.867147,21.106777,125200
2003-09-02,21.243207,21.430364,21.113772,21.416372,55600
2003-09-03,21.426864,21.558049,21.426864,21.470592,279600
2003-09-04,21.461846,21.510822,21.388382,21.488083,18800
2003-09-05,21.384885,21.516070,21.321916,21.402376,37600
2003-09-08,21.440862,21.587788,21.440862,21.575544,34400
2003-09-09,21.540559,21.540559,21.365646,21.388384,35600
2003-09-10,21.223962,21.246702,20.994827,21.007071,160000
2003-09-11,21.120764,21.216967,21.035057,21.152248,106800
2003-09-12,21.108519,21.239704,20.966840,21.211718,293600
2003-09-15,21.243203,21.243203,20.937105,21.152248,420800
2003-09-16,21.244953,21.453100,21.222215,21.453100,65600
2003-09-17,21.461853,21.496837,21.400634,21.409380,76000
2003-09-18,21.418116,21.682235,21.384883,21.662994,99200
2003-09-19,21.622031,21.683557,21.555232,21.658947,77200
2003-09-22,21.358361,21.425160,21.305624,21.365393,30800
2003-09-23,21.389996,21.521837,21.389996,21.521837,29200
2003-09-24,21.521845,21.521845,21.147415,21.168509,84800
2003-09-25,21.182563,21.182563,20.932943,20.932943,156000
2003-09-26,20.848576,20.866155,20.743103,20.764198,41600
2003-09-29,20.830985,20.894269,20.730786,20.890753,20000
