Date,Open,High,Low,Close,Volume
1992-06-26,0.242059,0.256468,0.236296,0.247823,224358400
1992-06-29,0.250705,0.270877,0.244941,0.265113,58732800
1992-06-30,0.270876,0.273758,0.253586,0.256468,34777600
1992-07-01,0.259350,0.265113,0.250705,0.262231,18316800
1992-07-02,0.265113,0.265113,0.256468,0.262231,13996800
1992-07-06,0.259350,0.262231,0.256468,0.262231,5753600
1992-07-07,0.262231,0.262231,0.256468,0.262231,10662400
1992-07-08,0.262231,0.262231,0.253586,0.256468,15500800
1992-07-09,0.259350,0.265113,0.256468,0.265113,3923200
1992-07-10,0.265113,0.270877,0.259350,0.267994,11040000
1992-07-13,0.267994,0.273758,0.265113,0.273758,5996800
1992-07-14,0.273758,0.282403,0.270877,0.273758,17062400
1992-07-15,0.276639,0.282403,0.273758,0.282403,4992000
1992-07-16,0.282403,0.305457,0.279521,0.301134,17062400
1992-07-17,0.302574,0.322746,0.293930,0.316983,15667200
1992-07-20,0.315542,0.322746,0.308338,0.319865,19744000
1992-07-21,0.322746,0.328510,0.316983,0.322746,7782400
1992-07-22,0.319865,0.322746,0.311219,0.319865,10892800
1992-07-23,0.319865,0.325628,0.314101,0.325628,10387200
1992-07-24,0.319864,0.331391,0.316983,0.328510,7052800
1992-07-27,0.331391,0.342918,0.328510,0.335713,11430400
1992-07-28,0.340036,0.342918,0.316983,0.322746,18009600
1992-07-29,0.322746,0.322746,0.299693,0.306897,30848000
1992-07-30,0.302574,0.308338,0.296811,0.305456,11737600
1992-07-31,0.305457,0.308338,0.299693,0.306897,6886400
1992-08-03,0.302574,0.314101,0.302574,0.309779,4832000
1992-08-04,0.311219,0.316983,0.304015,0.315542,6822400
1992-08-05,0.314101,0.314101,0.296811,0.302574,9516800
1992-08-06,0.299693,0.302574,0.293930,0.302574,3673600
1992-08-07,0.302574,0.314101,0.293930,0.314101,8825600
1992-08-10,0.308338,0.319865,0.305457,0.314101,5888000
1992-08-11,0.319865,0.319865,0.311219,0.316983,4147200
1992-08-12,0.311219,0.314101,0.296811,0.302574,12736000
1992-08-13,0.302574,0.306897,0.296811,0.302574,48320000
1992-08-14,0.299693,0.305456,0.282403,0.285285,17849600
1992-08-17,0.288166,0.291048,0.282403,0.291048,2681600
1992-08-18,0.282403,0.288166,0.282403,0.288166,2860800
1992-08-19,0.282403,0.288166,0.282403,0.288166,2380800
1992-08-20,0.288166,0.295371,0.279521,0.285285,2489600
1992-08-21,0.285285,0.285285,0.279521,0.279521,2048000
1992-08-24,0.282403,0.285285,0.276639,0.282403,6905600
1992-08-25,0.276639,0.282403,0.276639,0.279521,4128000
1992-08-26,0.276640,0.282403,0.265113,0.276640,19385600
1992-08-27,0.279521,0.285285,0.276639,0.282403,6169600
1992-08-28,0.282403,0.288166,0.279521,0.288166,3417600
1992-08-31,0.288166,0.291048,0.282403,0.286725,4441600
1992-09-01,0.288166,0.296811,0.285285,0.291048,2387200
1992-09-02,0.296811,0.319865,0.291048,0.318424,11692800
1992-09-03,0.316983,0.334273,0.316983,0.328510,16480000
1992-09-04,0.328510,0.334273,0.325628,0.331391,4249600
1992-09-08,0.334273,0.365971,0.328510,0.358767,17139200
1992-09-09,0.342918,0.360207,0.334273,0.354444,25299200
1992-09-10,0.348681,0.354445,0.342918,0.351563,8889600
1992-09-11,0.348681,0.368853,0.348681,0.360207,13036800
1992-09-14,0.365971,0.380379,0.363090,0.377498,13068800
1992-09-15,0.371734,0.378938,0.354444,0.354444,18099200
1992-09-16,0.340036,0.351563,0.337154,0.342918,14963200
1992-09-17,0.345799,0.348681,0.322746,0.328510,13459200
1992-09-18,0.322746,0.328510,0.308338,0.314101,17260800
1992-09-21,0.316983,0.345799,0.308338,0.340036,24012800
1992-09-22,0.340036,0.357326,0.334273,0.354444,19206400
1992-09-23,0.354445,0.354445,0.337154,0.351563,26912000
1992-09-24,0.354444,0.357326,0.345799,0.354444,5459200
1992-09-25,0.351563,0.360208,0.348681,0.351563,12102400
1992-09-28,0.354445,0.371734,0.351563,0.370293,7532800
1992-09-29,0.365971,0.371734,0.354444,0.355885,9593600
1992-09-30,0.354444,0.360207,0.348681,0.348681,11123200
1992-10-01,0.354445,0.354445,0.337154,0.340036,4556800
1992-10-02,0.337154,0.340036,0.322746,0.331391,5926400
1992-10-05,0.314101,0.334273,0.311219,0.334273,12755200
1992-10-06,0.340036,0.340036,0.328510,0.337154,6022400
1992-10-07,0.337154,0.337154,0.328510,0.328510,3692800
1992-10-08,0.331391,0.337154,0.328510,0.337154,2470400
1992-10-09,0.337154,0.337154,0.328510,0.329951,2432000
1992-10-12,0.328510,0.342918,0.328510,0.342918,4134400
1992-10-13,0.342918,0.348681,0.337154,0.348681,4390400
1992-10-14,0.348681,0.351563,0.340036,0.342918,4742400
1992-10-15,0.340036,0.348681,0.334273,0.345799,2950400
1992-10-16,0.345799,0.360207,0.340036,0.357326,8774400
1992-10-19,0.360207,0.374616,0.354445,0.374616,14745600
1992-10-20,0.377498,0.380379,0.368853,0.368853,8032000
1992-10-21,0.371734,0.371734,0.363090,0.363090,3366400
1992-10-22,0.368852,0.371734,0.363090,0.371734,5772800
1992-10-23,0.371734,0.374616,0.365971,0.368853,5785600
1992-10-26,0.374616,0.374616,0.363090,0.365971,7436800
1992-10-27,0.365971,0.365971,0.334273,0.340036,19462400
1992-10-28,0.337154,0.342918,0.322746,0.325628,22240000
1992-10-29,0.334273,0.345799,0.328510,0.345799,21280000
1992-10-30,0.345799,0.345799,0.337154,0.340036,5120000
1992-11-02,0.342918,0.345799,0.328510,0.328510,18604800
1992-11-03,0.331391,0.337154,0.325628,0.337154,5952000
1992-11-04,0.337154,0.340036,0.331391,0.335713,3699200
1992-11-05,0.331391,0.342918,0.331391,0.342918,17504000
1992-11-06,0.345799,0.368853,0.340036,0.365971,25056000
1992-11-09,0.368853,0.374616,0.360207,0.368853,13024000
1992-11-10,0.371734,0.371734,0.357326,0.360207,4870400
1992-11-11,0.363090,0.368853,0.357326,0.365971,4230400
1992-11-12,0.368853,0.371734,0.354444,0.354444,12524800
1992-11-13,0.360207,0.371734,0.354444,0.368853,11520000
1992-11-16,0.371734,0.374616,0.365971,0.371734,12582400
1992-11-17,0.374616,0.374616,0.368853,0.374616,8256000
1992-11-18,0.368853,0.394787,0.368853,0.391906,25280000
1992-11-19,0.391906,0.414959,0.391906,0.414959,19276800
1992-11-20,0.414959,0.432249,0.409196,0.410637,46131200
1992-11-23,0.414959,0.417841,0.397670,0.412078,16620800
1992-11-24,0.414959,0.423604,0.409196,0.414959,6067200
1992-11-25,0.417841,0.429367,0.412078,0.425045,8051200
1992-11-27,0.429367,0.429367,0.420723,0.422164,2464000
1992-11-30,0.429367,0.438012,0.417841,0.435131,9465600
1992-12-01,0.438013,0.438013,0.420723,0.426486,9171200
1992-12-02,0.423604,0.423604,0.389025,0.412078,44780800
1992-12-03,0.412078,0.412078,0.389024,0.406314,28006400
1992-12-04,0.399110,0.409196,0.389024,0.406314,24364800
1992-12-07,0.409196,0.409196,0.394787,0.396228,34515200
1992-12-08,0.397670,0.400551,0.389024,0.394787,16448000
1992-12-09,0.389024,0.396228,0.380379,0.389024,7718400
1992-12-10,0.383261,0.406314,0.383261,0.403432,14259200
1992-12-11,0.406314,0.406314,0.400551,0.400551,5734400
1992-12-14,0.403433,0.403433,0.391906,0.394787,7123200
1992-12-15,0.394787,0.406314,0.389024,0.406314,6867200
1992-12-16,0.404873,0.423604,0.400551,0.414959,17529600
1992-12-17,0.420723,0.429367,0.414959,0.426486,14988800
1992-12-18,0.426486,0.429367,0.423604,0.423604,4473600
1992-12-21,0.423604,0.429367,0.412078,0.429367,3046400
1992-12-22,0.429367,0.429367,0.417841,0.420723,4441600
1992-12-23,0.417841,0.420723,0.406314,0.409196,7808000
1992-12-24,0.409196,0.409196,0.400551,0.403432,5420800
1992-12-28,0.403433,0.403433,0.391906,0.401992,3699200
1992-12-29,0.397670,0.414959,0.397670,0.414959,13766400
1992-12-30,0.414959,0.417841,0.409196,0.414959,8992000
1992-12-31,0.417841,0.429367,0.412078,0.426486,5836800
1993-01-04,0.429367,0.432249,0.423604,0.429367,13376000
1993-01-05,0.426486,0.440894,0.420723,0.438012,14240000
1993-01-06,0.440894,0.446658,0.435131,0.443776,18329600
1993-01-07,0.443776,0.469711,0.440894,0.455303,33414400
1993-01-08,0.455303,0.461066,0.440894,0.449539,24044800
1993-01-11,0.452421,0.458184,0.432249,0.443776,15705600
1993-01-12,0.449539,0.449539,0.438013,0.439453,6220800
1993-01-13,0.443776,0.446658,0.435131,0.438012,14291200
1993-01-14,0.438012,0.472592,0.432249,0.472592,19065600
1993-01-15,0.475474,0.487000,0.461066,0.463947,32748800
1993-01-18,0.463947,0.469711,0.455303,0.469711,10521600
1993-01-19,0.472592,0.475474,0.452421,0.458184,11148800
1993-01-20,0.458184,0.458184,0.446658,0.448098,7315200
1993-01-21,0.449539,0.452421,0.435131,0.438012,15052800
1993-01-22,0.443776,0.449539,0.438012,0.446658,9196800
1993-01-25,0.446658,0.455303,0.440894,0.452421,13228800
1993-01-26,0.452421,0.452421,0.446658,0.452421,10803200
1993-01-27,0.452421,0.452421,0.429367,0.440894,10060800
1993-01-28,0.440894,0.440894,0.432249,0.435131,3468800
1993-01-29,0.436572,0.446658,0.435131,0.443776,2848000
1993-02-01,0.440894,0.443776,0.435131,0.435131,7974400
1993-02-02,0.435131,0.452421,0.435131,0.443776,17094400
1993-02-03,0.452421,0.452421,0.443776,0.443776,6099200
1993-02-04,0.443776,0.461066,0.443776,0.461066,10611200
1993-02-05,0.461066,0.461066,0.443776,0.443776,8742400
1993-02-08,0.443776,0.449539,0.432250,0.436572,6201600
1993-02-09,0.440894,0.440894,0.412078,0.420723,16409600
1993-02-10,0.423604,0.426486,0.400551,0.409196,11840000
1993-02-11,0.409196,0.417841,0.403433,0.412078,4608000
1993-02-12,0.412078,0.417841,0.406314,0.410637,3769600
1993-02-16,0.400551,0.406314,0.389024,0.400551,21036800
1993-02-17,0.400551,0.406314,0.386143,0.390465,25715200
1993-02-18,0.394787,0.400551,0.389024,0.397670,11219200
1993-02-19,0.400551,0.403433,0.389024,0.391906,9798400
1993-02-22,0.391906,0.397670,0.386143,0.390465,5184000
1993-02-23,0.391906,0.391906,0.365971,0.380379,20089600
1993-02-24,0.374616,0.389024,0.365971,0.389024,16672000
1993-02-25,0.389025,0.412078,0.383261,0.412078,10336000
1993-02-26,0.414959,0.417841,0.409196,0.417841,4563200
1993-03-01,0.417841,0.417841,0.406314,0.406314,2956800
1993-03-02,0.412078,0.423604,0.403432,0.420723,6374400
1993-03-03,0.417841,0.432249,0.417841,0.432249,6956800
1993-03-04,0.432249,0.440894,0.429367,0.432249,17971200
1993-03-05,0.432250,0.433690,0.420723,0.426486,4896000
1993-03-08,0.423604,0.432250,0.420723,0.426486,5075200
1993-03-09,0.423604,0.426486,0.414959,0.426486,5280000
1993-03-10,0.426486,0.426486,0.420723,0.420723,3104000
1993-03-11,0.432250,0.461066,0.432250,0.453861,29836800
1993-03-12,0.452421,0.455303,0.443776,0.446658,15372800
1993-03-15,0.452421,0.463947,0.446658,0.461066,8569600
1993-03-16,0.461066,0.463947,0.446658,0.455303,7276800
1993-03-17,0.449539,0.455303,0.443776,0.449539,5907200
1993-03-18,0.449539,0.455303,0.446658,0.446658,2547200
1993-03-19,0.452421,0.452421,0.443776,0.443776,2745600
1993-03-22,0.440894,0.446658,0.435131,0.443776,3737600
1993-03-23,0.443776,0.452421,0.438012,0.446658,7929600
1993-03-24,0.446658,0.452421,0.443776,0.446658,6816000
1993-03-25,0.446658,0.456744,0.443776,0.452421,4601600
1993-03-26,0.458184,0.458184,0.432249,0.435131,13171200
1993-03-29,0.432249,0.435131,0.423604,0.432249,4569600
1993-03-30,0.435131,0.440894,0.423604,0.423604,5478400
1993-03-31,0.429367,0.440894,0.426486,0.438012,4524800
1993-04-01,0.438012,0.440894,0.432250,0.440894,2784000
1993-04-02,0.438012,0.440894,0.429367,0.435131,5049600
1993-04-05,0.435131,0.435131,0.426486,0.432249,3001600
1993-04-06,0.432249,0.432249,0.400551,0.403432,23270400
1993-04-07,0.403433,0.414959,0.394787,0.414959,14681600
1993-04-08,0.417841,0.452421,0.414959,0.449539,17817600
1993-04-12,0.449539,0.455303,0.440894,0.446658,9100800
1993-04-13,0.449539,0.461066,0.443776,0.455303,6752000
1993-04-14,0.461066,0.461066,0.449539,0.455303,2873600
1993-04-15,0.452421,0.455303,0.449539,0.455303,2886400
1993-04-16,0.452421,0.455303,0.443776,0.446658,7936000
1993-04-19,0.443776,0.461066,0.440894,0.458184,8748800
1993-04-20,0.455303,0.463947,0.429367,0.438012,19801600
1993-04-21,0.443776,0.449539,0.435131,0.446658,10035200
1993-04-22,0.446658,0.455303,0.438012,0.449539,7628800
