ticker,name,region,bench
AAPL,Apple,US,^GSPC
MSFT,Microsoft,US,^GSPC
NVDA,Nvidia,US,^GSPC
GOOGL,Alphabet,US,^GSPC
AMZN,Amazon,US,^GSPC
META,Meta Platforms,US,^GSPC
TSLA,Tesla,US,^GSPC
AVGO,Broadcom,US,^GSPC
BRK-B,Berkshire Hathaway,US,^GSPC
JPM,JPMorgan,US,^GSPC
V,Visa,US,^GSPC
MA,Mastercard,US,^GSPC
UNH,UnitedHealth,US,^GSPC
XOM,Exxon Mobil,US,^GSPC
JNJ,Johnson & Johnson,US,^GSPC
WMT,Walmart,US,^GSPC
PG,Procter & Gamble,US,^GSPC
HD,Home Depot,US,^GSPC
COST,Costco,US,^GSPC
ORCL,Oracle,US,^GSPC
LLY,Eli Lilly,US,^GSPC
ABBV,AbbVie,US,^GSPC
MRK,Merck,US,^GSPC
KO,Coca-Cola,US,^GSPC
PEP,PepsiCo,US,^GSPC
BAC,Bank of America,US,^GSPC
CRM,Salesforce,US,^GSPC
AMD,AMD,US,^GSPC
NFLX,Netflix,US,^GSPC
ADBE,Adobe,US,^GSPC
TMO,Thermo Fisher,US,^GSPC
CSCO,Cisco,US,^GSPC
ACN,Accenture,US,^GSPC
INTC,Intel,US,^GSPC
IBM,IBM,US,^GSPC
QCOM,Qualcomm,US,^GSPC
TXN,Texas Instruments,US,^GSPC
GE,GE Aerospace,US,^GSPC
CAT,Caterpillar,US,^GSPC
DE,Deere,US,^GSPC
BA,Boeing,US,^GSPC
HON,Honeywell,US,^GSPC
UPS,UPS,US,^GSPC
RTX,RTX,US,^GSPC
LMT,Lockheed Martin,US,^GSPC
GS,Goldman Sachs,US,^GSPC
MS,Morgan Stanley,US,^GSPC
SCHW,Charles Schwab,US,^GSPC
BLK,BlackRock,US,^GSPC
AXP,American Express,US,^GSPC
C,Citigroup,US,^GSPC
WFC,Wells Fargo,US,^GSPC
CVX,Chevron,US,^GSPC
COP,ConocoPhillips,US,^GSPC
DIS,Disney,US,^GSPC
CMCSA,Comcast,US,^GSPC
T,AT&T,US,^GSPC
VZ,Verizon,US,^GSPC
NKE,Nike,US,^GSPC
MCD,McDonald's,US,^GSPC
SBUX,Starbucks,US,^GSPC
