Date,Open,High,Low,Close,Volume
1998-12-22,5.877263,5.877263,5.795297,5.795297,15800
1998-12-23,5.789226,5.789226,5.758868,5.771011,48200
1998-12-24,5.871193,5.889408,5.859050,5.877265,47600
1998-12-28,5.865123,5.877266,5.837801,5.846908,6200
1998-12-29,5.871194,5.959231,5.871194,5.944052,24000
1998-12-30,5.974410,5.989589,5.895480,5.895480,140800
1998-12-31,5.874226,5.874226,5.834761,5.874226,43200
1999-01-04,5.831726,5.877262,5.755831,5.780117,218600
1999-01-05,5.825654,5.849940,5.801367,5.849940,222400
1999-01-06,5.868156,5.928872,5.868156,5.910657,82000
1999-01-07,5.910657,5.971373,5.877263,5.889406,444600
1999-01-08,5.907623,5.928874,5.849944,5.922802,271800
1999-01-11,5.889410,5.889410,5.743692,5.764943,258000
1999-01-12,5.758869,5.852978,5.737619,5.767976,14200
1999-01-13,5.731547,5.849943,5.731547,5.807442,51800
1999-01-14,5.725474,5.783154,5.682973,5.710296,40000
1999-01-15,5.731545,5.789226,5.716367,5.737617,13800
1999-01-19,5.913694,5.931909,5.828692,5.931909,24400
1999-01-20,5.937979,5.971373,5.883335,5.907621,65400
1999-01-21,5.950122,5.950122,5.886371,5.886371,41000
1999-01-22,5.846907,5.968338,5.822621,5.925837,41600
1999-01-25,5.925839,5.925839,5.704227,5.704227,27200
1999-01-26,5.767975,5.816547,5.679938,5.816547,30400
1999-01-27,5.801369,5.801369,5.728510,5.728510,15600
1999-01-28,5.743689,5.816547,5.737617,5.737617,35200
1999-01-29,5.737617,5.761904,5.673866,5.728510,79600
1999-02-01,5.761905,5.761905,5.682975,5.716369,24400
1999-02-02,5.643508,5.655651,5.567613,5.640472,55400
1999-02-03,5.610116,5.676903,5.610116,5.670832,65000
1999-02-04,5.661723,5.661723,5.585828,5.585828,36400
1999-02-05,5.607081,5.637439,5.588867,5.588867,16200
1999-02-08,5.591902,5.628331,5.579759,5.588867,26600
1999-02-09,5.601009,5.664760,5.588866,5.613152,24400
1999-02-10,5.613154,5.631368,5.570653,5.573688,16000
1999-02-11,5.588865,5.628330,5.570651,5.597972,8800
1999-02-12,5.625297,5.625297,5.482615,5.506901,206000
1999-02-16,5.579757,5.607080,5.564579,5.607080,118600
1999-02-17,5.591898,5.682972,5.567612,5.567612,114800
1999-02-18,5.591900,5.743689,5.567614,5.667795,28000
1999-02-19,5.637437,5.664759,5.585829,5.607080,19200
1999-02-22,5.628330,5.789226,5.628330,5.789226,13800
1999-02-23,5.737618,5.737618,5.585829,5.607080,30200
1999-02-24,5.625294,5.743689,5.625294,5.658688,132000
1999-02-25,5.622260,5.628331,5.512972,5.537258,47200
1999-02-26,5.576721,5.576721,5.491719,5.570650,22800
1999-03-01,5.525113,5.525113,5.455290,5.488683,16800
1999-03-02,5.525114,5.540293,5.406719,5.406719,20600
1999-03-03,5.409755,5.443149,5.409755,5.409755,9400
1999-03-04,5.455290,5.494755,5.440111,5.494755,11400
1999-03-05,5.585831,5.597974,5.522080,5.588867,42000
1999-03-08,5.564580,5.564580,5.497792,5.525114,78200
1999-03-09,5.531188,5.552439,5.476544,5.509938,11600
1999-03-10,5.485652,5.512973,5.482615,5.491723,68000
1999-03-11,5.497792,5.567614,5.482613,5.534221,19200
1999-03-12,5.613151,5.619222,5.567614,5.594936,15600
1999-03-15,5.619226,5.634405,5.585832,5.610118,31800
1999-03-16,5.591902,5.619224,5.558509,5.588867,20200
1999-03-17,5.601010,5.613153,5.537258,5.537258,24200
1999-03-18,5.525112,5.619221,5.525112,5.619221,27600
1999-03-19,5.592014,5.622572,5.515621,5.515621,102000
1999-03-22,5.515623,5.579794,5.515623,5.533958,76800
1999-03-23,5.485066,5.485066,5.326167,5.359780,68800
1999-03-24,5.396445,5.457560,5.329219,5.433114,47400
1999-03-25,5.436173,5.436173,5.384225,5.414783,15200
1999-03-26,5.332278,5.356724,5.310887,5.344501,24600
1999-03-29,5.356720,5.387277,5.316995,5.316995,29000
1999-03-30,5.268106,5.295608,5.231437,5.231437,23000
1999-03-31,5.268105,5.277273,5.219213,5.219213,41000
1999-04-01,5.240603,5.329219,5.240603,5.329219,22400
1999-04-05,5.344499,5.393391,5.316997,5.372001,16800
1999-04-06,5.378113,5.402559,5.338389,5.344501,77800
1999-04-07,5.390337,5.427006,5.365891,5.414783,58200
1999-04-08,5.433115,5.579791,5.433115,5.558401,89800
1999-04-09,5.567570,5.567570,5.506455,5.518678,34600
1999-04-12,5.524787,5.607293,5.506453,5.598125,19000
1999-04-13,5.598127,5.604238,5.506454,5.506454,26000
1999-04-14,5.524789,5.524789,5.423950,5.427005,53200
1999-04-15,5.442284,5.503399,5.442284,5.482008,35000
1999-04-16,5.512568,5.555348,5.509512,5.543125,5600
1999-04-19,5.598125,5.695909,5.588958,5.598125,23800
1999-04-20,5.604238,5.659242,5.604238,5.659242,20600
1999-04-21,5.683688,5.760082,5.643964,5.760082,39200
1999-04-22,5.747861,5.747861,5.668411,5.741749,26400
1999-04-23,5.775357,5.775357,5.732577,5.738688,12200
1999-04-26,5.738692,5.778417,5.708134,5.708134,12200
1999-04-27,5.680634,5.744805,5.680634,5.741749,17400
1999-04-28,5.766191,5.778414,5.717299,5.717299,17400
1999-04-29,5.815086,5.833420,5.796751,5.799807,27400
1999-04-30,5.775362,5.787585,5.671466,5.723414,65000
1999-05-03,5.741745,5.827306,5.741745,5.808972,8800
1999-05-04,5.842587,5.842587,5.744803,5.760082,100400
1999-05-05,5.772302,5.805915,5.747856,5.805915,1254200
1999-05-06,5.763136,5.781470,5.683686,5.683686,33400
1999-05-07,5.753966,5.787579,5.753966,5.753966,12200
1999-05-10,5.753967,5.753967,5.735633,5.738688,8200
1999-05-11,5.723413,5.763138,5.680633,5.760082,31200
1999-05-12,5.747859,5.775360,5.717301,5.775360,23600
1999-05-13,5.753969,5.867031,5.753969,5.851753,20600
1999-05-14,5.799808,5.799808,5.741749,5.741749,31200
1999-05-17,5.778416,5.863977,5.735635,5.860920,20400
1999-05-18,5.851754,5.851754,5.723412,5.732579,21600
1999-05-19,5.790638,5.857864,5.790638,5.851753,62200
1999-05-20,5.845641,5.888422,5.805916,5.839530,56400
1999-05-21,5.805918,5.821197,5.784528,5.784528,14000
1999-05-24,5.851756,5.873145,5.808975,5.842588,21800
1999-05-25,5.867029,5.934256,5.842583,5.848695,41800
1999-05-26,5.839528,5.894532,5.812026,5.879252,29800
1999-05-27,5.854811,5.854811,5.775361,5.778418,17800
1999-05-28,5.793694,5.808973,5.790639,5.790639,6200
1999-06-01,5.772304,5.787582,5.720356,5.787582,10800
1999-06-02,5.808973,5.815084,5.750913,5.787582,120000
1999-06-03,5.787583,5.787583,5.711189,5.732579,16400
1999-06-04,5.781469,5.818138,5.775358,5.818138,26800
1999-06-07,5.854809,5.882311,5.833419,5.867032,21800
1999-06-08,5.900645,5.918980,5.867032,5.867032,8600
1999-06-09,5.891476,5.922033,5.885365,5.912867,10000
1999-06-10,5.867034,5.867034,5.812031,5.863979,9600
1999-06-11,5.867033,5.873145,5.818141,5.824253,14600
1999-06-14,5.897589,5.992317,5.894533,5.986206,159200
1999-06-15,5.998430,6.025931,5.989263,5.992319,87000
1999-06-16,6.007597,6.062600,6.007597,6.050377,249800
1999-06-17,6.004538,6.032040,5.989259,5.998427,8000
1999-06-18,6.056746,6.075193,6.010629,6.019852,137000
1999-06-21,5.986032,6.016777,5.949138,5.973734,117200
1999-06-22,5.958363,5.992183,5.952214,5.952214,22000
1999-06-23,5.973734,5.973734,5.921467,5.933765,17400
1999-06-24,5.887649,5.887649,5.838457,5.869202,10200
1999-06-25,5.847683,5.909173,5.838460,5.838460,36400
1999-06-28,5.890721,5.933764,5.890721,5.899945,19800
1999-06-29,5.890723,5.915319,5.859978,5.903021,7800
1999-06-30,5.942990,6.084416,5.909170,6.029076,52200
1999-07-01,6.059819,6.059819,5.995255,6.007553,57000
1999-07-02,5.989109,6.010631,5.970662,6.010631,15200
1999-07-06,5.992183,6.038300,5.961438,5.992183,22800
1999-07-07,6.013703,6.047523,6.010629,6.047523,15400
1999-07-08,6.056749,6.056749,5.998334,5.998334,9800
1999-07-09,6.004483,6.010632,5.884577,5.998334,62600
1999-07-12,6.019851,6.019851,5.955287,5.973734,14400
1999-07-13,5.998329,6.001403,5.946063,5.946063,2000
1999-07-14,5.955286,5.982956,5.952212,5.982956,26000
1999-07-15,6.010626,6.075190,6.010626,6.075190,14400
1999-07-16,6.105937,6.148980,6.105937,6.145905,3000
1999-07-19,6.148981,6.148981,6.087491,6.087491,11600
1999-07-20,6.102864,6.145907,6.096715,6.115162,10200
1999-07-21,6.099788,6.182800,6.099788,6.152055,29600
1999-07-22,6.087489,6.142829,6.087489,6.142829,8200
1999-07-23,6.121309,6.139756,6.102862,6.102862,6800
1999-07-26,6.084418,6.158206,6.084418,6.112088,49200
1999-07-27,6.145905,6.179724,6.118234,6.148979,10800
1999-07-28,6.155128,6.170501,6.133607,6.136682,5200
1999-07-29,6.065966,6.102860,6.019849,6.035222,31800
1999-07-30,6.065969,6.087491,6.010629,6.047523,10200
1999-08-02,6.056744,6.161277,6.056744,6.139756,94400
1999-08-03,6.164353,6.192023,6.099788,6.099788,117200
1999-08-04,6.112085,6.130532,6.007553,6.007553,15400
1999-08-05,6.010626,6.062891,5.967583,6.062891,26200
1999-08-06,6.050601,6.081346,6.038303,6.038303,5200
1999-08-09,6.075189,6.099785,6.059817,6.062891,17400
1999-08-10,6.072120,6.072120,5.949140,5.952214,32200
1999-08-11,5.567904,5.992184,5.567904,5.921471,23400
1999-08-12,5.909171,5.949139,5.890724,5.890724,47200
1999-08-13,5.912245,5.992182,5.912245,5.967586,24000
1999-08-16,5.949141,5.973737,5.921471,5.921471,5000
1999-08-17,6.004478,6.004478,5.955287,5.986032,60000
1999-08-18,5.992184,5.992184,5.936843,5.949141,53200
1999-08-19,5.887648,5.903020,5.823083,5.881499,14800
1999-08-20,5.899946,5.915318,5.866126,5.866126,25800
1999-08-23,5.872275,5.906094,5.829232,5.893796,16200
1999-08-24,5.872279,5.890726,5.853832,5.878428,4600
1999-08-25,5.930689,5.989104,5.918392,5.961434,77800
1999-08-26,5.979883,5.992181,5.942989,5.964510,15400
1999-08-27,5.915317,5.927615,5.884572,5.884572,25600
1999-08-30,5.869200,5.893796,5.801561,5.804636,49400
1999-08-31,5.804640,5.804640,5.687810,5.758523,40200
1999-09-01,5.718550,5.789263,5.693954,5.780039,47600
1999-09-02,5.712403,5.712403,5.669360,5.700105,304400
1999-09-03,5.780040,5.816934,5.776966,5.807711,33600
1999-09-07,5.832309,5.838458,5.767744,5.767744,40800
1999-09-08,5.743147,5.752371,5.678583,5.684732,12400
