Date,Open,High,Low,Close,Volume
1998-12-22,16.570063,16.737016,16.570063,16.716146,5700
1998-12-23,16.820493,17.091791,16.820493,17.091791,18100
1998-12-24,17.112654,17.196131,17.039613,17.196131,4900
1998-12-28,17.143958,17.196131,16.945702,16.945702,15500
1998-12-29,16.945693,17.321337,16.945693,17.321337,5300
1998-12-30,17.363090,17.383959,17.175268,17.175268,17300
1998-12-31,17.237866,17.363081,17.196128,17.363081,6600
1999-01-04,17.530028,17.613504,17.216991,17.321337,249200
1999-01-05,17.363091,17.592651,17.363091,17.592651,4400
1999-01-06,17.717861,17.884813,17.676122,17.884813,38500
1999-01-07,17.717850,17.822196,17.592636,17.801327,15900
1999-01-08,17.843079,18.020466,17.843079,18.020466,24400
1999-01-11,18.010028,18.197850,17.905682,18.062201,7700
1999-01-12,18.114371,18.197848,17.968288,17.989157,270700
1999-01-13,17.217001,17.947419,17.217001,17.822205,7100
1999-01-14,17.884816,17.936988,17.613517,17.676125,12200
1999-01-15,17.738724,17.968284,17.738724,17.916111,7700
1999-01-19,18.218717,18.469146,18.114372,18.427408,22700
1999-01-20,18.531754,18.782183,18.427408,18.531754,25800
1999-01-21,18.490017,18.490017,17.843075,17.884813,23200
1999-01-22,17.759601,17.947422,17.634386,17.811773,67100
1999-01-25,17.822204,17.968288,17.822204,17.957853,495300
1999-01-26,17.989152,18.051759,17.811765,18.041325,187400
1999-01-27,18.093507,18.093507,17.863947,17.863947,6800
1999-01-28,18.030898,18.260458,18.030898,18.197851,25800
1999-01-29,18.218720,18.218720,17.968291,18.197851,13800
1999-02-01,18.281333,18.343940,18.135249,18.302202,34000
1999-02-02,18.010026,18.062199,17.780466,18.030895,141700
1999-02-03,17.989164,18.375242,17.989164,18.375242,38900
1999-02-04,18.260461,18.323068,18.114377,18.239592,7400
1999-02-05,18.239586,18.239586,17.905681,18.030895,16900
1999-02-08,18.114377,18.114377,17.947424,18.020466,6500
1999-02-09,18.072631,18.093500,17.696987,17.696987,220800
1999-02-10,17.571773,17.738726,17.488297,17.738726,17800
1999-02-11,17.676121,18.218718,17.613514,18.218718,5300
1999-02-12,18.114361,18.114361,17.843063,17.947409,8400
1999-02-16,18.030900,18.239591,18.030900,18.114376,18500
1999-02-17,18.072632,18.197846,17.905679,17.926548,12900
1999-02-18,17.989156,18.166543,17.874376,18.156109,11500
1999-02-19,18.156112,18.281326,18.156112,18.208284,13900
1999-02-22,18.281322,18.604793,18.239584,18.594358,17800
1999-02-23,18.636105,18.636105,18.364806,18.563063,15000
1999-02-24,18.615231,18.688273,18.343933,18.343933,28000
1999-02-25,18.260461,18.260461,17.947424,18.166550,98900
1999-02-26,18.239587,18.270890,17.957854,18.218718,10800
1999-03-01,18.176982,18.197851,17.968291,18.187416,8800
1999-03-02,18.302197,18.458716,18.062203,18.176983,11500
1999-03-03,18.239588,18.239588,18.030897,18.062201,13100
1999-03-04,18.323066,18.385674,18.187417,18.385674,10400
1999-03-05,18.656977,18.844799,18.594370,18.803061,25400
1999-03-08,18.761310,18.823917,18.656965,18.823917,62700
1999-03-09,18.594363,18.865661,18.573494,18.677839,12200
1999-03-10,18.656970,18.844791,18.552624,18.844791,10700
1999-03-11,18.844787,19.074347,18.844787,18.970001,23600
1999-03-12,19.053476,19.136952,18.865654,18.865654,24600
1999-03-15,18.990870,19.063912,18.844786,18.928263,144800
1999-03-16,18.990870,18.990870,18.855221,18.886524,9100
1999-03-17,18.823915,18.938695,18.709135,18.782177,2700
1999-03-18,18.677843,19.043053,18.677843,19.043053,9500
1999-03-19,19.053487,19.136963,18.886534,18.959576,6900
1999-03-22,18.907408,19.095230,18.886539,18.907408,40900
1999-03-23,18.865663,18.865663,18.323066,18.385674,15400
1999-03-24,18.343930,18.469145,18.260454,18.469145,12800
1999-03-25,18.636093,18.782177,18.531748,18.782177,9700
1999-03-26,18.646531,18.719573,18.594359,18.636097,6600
1999-03-29,18.656963,18.917827,18.656963,18.865654,8100
1999-03-30,18.844799,18.938710,18.761322,18.803061,37300
1999-03-31,18.865666,18.865666,18.698713,18.698713,6300
1999-04-01,18.698713,18.750886,18.469153,18.698713,22500
1999-04-05,18.990888,19.199579,18.990888,19.116102,12400
1999-04-06,19.199566,19.283043,19.074352,19.136959,14500
1999-04-07,19.262178,19.596083,19.262178,19.502172,15700
1999-04-08,19.449993,19.700422,19.429124,19.700422,29600
1999-04-09,19.700420,19.763027,19.554336,19.763027,6600
1999-04-12,19.554338,20.263887,19.554338,20.263887,87300
1999-04-13,20.326493,20.347362,20.055195,20.055195,23600
1999-04-14,20.201282,20.243020,19.867376,19.867376,96900
1999-04-15,19.909112,19.909112,19.220432,19.366516,17800
1999-04-16,19.366514,19.366514,19.053477,19.178692,10400
1999-04-19,19.324776,19.429122,18.615227,18.656965,32700
1999-04-20,18.782185,19.011745,18.636102,19.011745,15700
1999-04-21,18.970010,19.449999,18.970010,19.449999,16000
1999-04-22,19.533462,19.929975,19.533462,19.846498,20200
1999-04-23,19.971718,20.295189,19.971718,20.295189,9800
1999-04-26,20.389102,20.389102,20.159542,20.263887,36200
1999-04-27,20.420405,20.430839,20.096934,20.284756,13900
1999-04-28,20.201283,20.201283,19.742163,19.742163,25500
1999-04-29,19.783902,19.909117,19.387389,19.512604,9800
1999-04-30,19.658683,19.763029,19.366516,19.366516,5800
1999-05-03,19.596079,19.763032,19.533472,19.742163,13000
1999-05-04,19.825636,19.825636,19.366516,19.366516,23000
1999-05-05,19.429123,19.575206,19.241301,19.533468,17100
1999-05-06,19.616949,19.763033,19.575211,19.616949,17500
1999-05-07,19.783900,19.783900,19.491733,19.554340,8000
1999-05-10,19.575211,19.742164,19.470866,19.512604,27300
1999-05-11,19.742163,19.867378,19.700425,19.825640,51000
1999-05-12,19.679558,20.076071,19.637820,20.013464,8100
1999-05-13,20.096930,20.096930,19.867370,19.888239,9600
1999-05-14,19.449992,19.575206,19.449992,19.533468,4600
1999-05-17,19.303903,19.408249,19.157820,19.408249,5800
1999-05-18,19.324784,19.512606,19.199570,19.199570,8500
1999-05-19,19.345648,19.491732,19.303910,19.429125,12100
1999-05-20,19.533471,19.783900,19.533471,19.689989,15300
1999-05-21,19.616947,19.616947,19.408256,19.470863,8400
1999-05-24,19.512604,19.533473,19.011745,19.011745,14000
1999-05-25,19.032608,19.199561,18.823917,18.823917,7200
1999-05-26,18.949137,18.949137,18.677839,18.844791,9300
1999-05-27,18.771746,18.771746,18.521317,18.636097,6600
1999-05-28,18.698710,18.782186,18.667406,18.771751,6000
1999-06-01,18.677834,18.823917,18.594357,18.823917,4400
1999-06-02,18.928271,18.928271,18.552627,18.761318,9200
1999-06-03,18.886539,18.990884,18.886539,18.907408,4900
1999-06-04,19.283040,19.387385,19.241302,19.366516,1200
1999-06-07,19.199570,19.199570,19.053486,19.199570,4200
1999-06-08,19.116095,19.210005,19.043053,19.043053,6400
1999-06-09,19.053484,19.199568,19.022180,19.053484,3000
1999-06-10,18.844788,18.896961,18.656967,18.896961,13300
1999-06-11,18.990876,19.011745,18.677839,18.677839,2500
1999-06-14,18.865653,18.865653,18.740439,18.782177,12700
1999-06-15,18.907403,19.157832,18.907403,18.990879,3600
1999-06-16,19.324778,19.366516,19.303909,19.366516,13500
1999-06-17,19.408257,19.543907,19.345650,19.460430,12300
1999-06-18,19.366516,19.470862,19.324778,19.366516,6200
1999-06-21,19.429132,19.429132,19.262179,19.272614,14100
1999-06-22,19.429126,19.429126,19.241304,19.241304,3900
1999-06-23,19.168259,19.283039,19.011741,19.283039,7900
1999-06-24,19.074346,19.136954,18.834352,18.928263,14100
1999-06-25,19.116091,19.116091,18.949139,18.949139,3000
1999-06-28,18.990875,19.157827,18.970006,19.157827,3000
1999-06-29,19.199568,19.387390,19.136961,19.345652,2100
1999-06-30,19.387386,19.679553,19.199564,19.596077,22500
1999-07-01,19.512608,19.700430,19.450000,19.658691,3900
1999-07-02,19.721299,19.721299,19.512608,19.658691,17700
1999-07-06,19.449996,19.637818,19.449996,19.616949,7100
1999-07-07,19.616948,19.742163,19.596079,19.742163,3200
1999-07-08,19.616946,19.752595,19.575208,19.700422,9600
1999-07-09,19.637816,19.783899,19.637816,19.783899,17000
1999-07-12,19.825640,19.888247,19.700425,19.825640,4700
1999-07-13,19.783899,19.867376,19.742161,19.783899,5300
1999-07-14,19.867378,19.867378,19.658687,19.825640,19700
1999-07-15,19.971725,19.971725,19.804772,19.919552,12700
1999-07-16,19.929987,19.992594,19.804772,19.929987,4900
1999-07-19,20.055189,20.055189,19.825629,19.846498,7000
1999-07-20,19.783896,19.888242,19.721289,19.763027,18900
1999-07-21,19.658699,19.804782,19.616960,19.721306,16200
1999-07-22,19.616940,19.700416,19.387380,19.408249,12100
1999-07-23,19.366519,19.491734,19.199566,19.241304,27300
1999-07-26,19.074353,19.345651,19.074353,19.262175,17400
1999-07-27,19.554342,19.679556,19.387389,19.616949,16300
1999-07-28,19.554340,19.596078,19.429125,19.470863,7400
1999-07-29,19.262174,19.283043,19.074352,19.136959,10500
1999-07-30,19.157829,19.262175,19.011745,19.011745,2800
1999-08-02,19.032608,19.136953,18.865655,18.886524,87600
1999-08-03,18.907406,18.907406,18.646542,18.803061,5500
1999-08-04,18.761314,18.803052,18.531754,18.531754,86400
1999-08-05,18.531753,18.531753,18.156109,18.479580,31900
1999-08-06,18.302197,18.385674,18.197852,18.281328,11700
1999-08-09,18.281333,18.364810,18.239595,18.302202,6200
1999-08-10,18.135241,18.135241,17.822205,17.936985,6000
1999-08-11,17.895251,18.114376,17.895251,18.114376,11700
1999-08-12,18.156114,18.239591,18.051769,18.114376,10000
1999-08-13,18.364801,18.490015,18.343932,18.427408,8000
1999-08-16,18.448277,18.594361,18.406539,18.427408,18400
1999-08-17,18.615227,18.719573,18.521316,18.656965,15100
1999-08-18,18.740439,18.876088,18.646528,18.782177,7900
1999-08-19,18.531761,18.698713,18.500457,18.698713,4900
1999-08-20,18.740442,18.782180,18.656965,18.656965,2700
1999-08-23,18.844793,18.865662,18.750882,18.834358,8700
1999-08-24,18.782183,18.782183,18.448277,18.573492,14300
1999-08-25,18.469149,18.949139,18.458715,18.949139,22100
1999-08-26,18.823930,18.928275,18.719584,18.803061,6000
1999-08-27,18.823922,18.823922,18.583928,18.667404,6500
1999-08-30,18.646534,18.646534,18.218718,18.218718,18000
1999-08-31,18.156109,18.250020,17.947418,18.156109,18100
1999-09-01,18.072637,18.260459,18.051768,18.176983,3800
1999-09-02,17.989157,18.103937,17.968288,17.989157,8600
1999-09-03,18.416979,18.625670,18.406544,18.563063,6200
1999-09-07,18.730004,18.844784,18.730004,18.782177,11500
1999-09-08,18.698713,18.865666,18.698713,18.698713,14300
1999-09-09,18.677838,18.730010,17.863943,18.573492,6900
1999-09-10,18.667405,18.740447,18.563059,18.677839,11300
1999-09-13,18.656974,18.688278,18.542194,18.646540,5500
1999-09-14,18.521317,18.604793,18.458710,18.458710,6100
1999-09-15,18.573496,18.594365,18.239590,18.281328,7300
1999-09-16,18.176985,18.291765,18.072640,18.291765,7000
1999-09-17,18.375235,18.813486,18.375235,18.813486,9800
1999-09-20,18.907398,18.907398,18.239587,18.583927,7600
1999-09-21,18.427410,18.980441,18.208285,18.250023,9600
